"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_LN(R0)",5,7911.62,2.09271e-05,734.145,264.221,0.359903,2
"4","SR_LN(R0)",5.1,7887.91,0.000262942,810.307,295.716,0.364943,2
"3","SR_LN(R0)",5.2,7878.39,0.00122033,894.618,334.239,0.373611,2
"2","SR_LN(R0)",5.3,7871.74,0.000342102,987.692,377.89,0.382599,1
"1","SR_LN(R0)",5.4,7867.93,0.000209932,1090.46,427.527,0.39206,1
"6","SR_LN(R0)",5.5,7866.89,0.000102372,1203.97,484.271,0.402228,1
"7","SR_LN(R0)",5.6,7868.54,0.00276899,1329.38,549.646,0.413459,1
"8","SR_LN(R0)",5.7,7872.75,0.000474033,1468.02,625.782,0.426277,1
"9","SR_LN(R0)",5.8,7879.35,8.86962e-05,1621.37,715.704,0.44142,1
"10","SR_LN(R0)",5.9,7888.1,5.54612e-05,1791.16,823.723,0.459883,1
"11","SR_LN(R0)",6,7898.62,8.02807e-05,1979.39,955.997,0.482975,1
