"type","Quantity","values"
Mohn,SSB,-0.0460869512512408
Mohn,Recruitment,0.873480500910054
Mohn,Fraction unfished,-0.0582829409212754
Mohn,F,-0.0542262300913967
NEFSC,SSB,-0.0206033387709854
NEFSC,Recruitment,-0.00668189895545349
NEFSC,Fraction unfished,-0.0327049125659355
NEFSC,F,0.018797470294974
AFSC,SSB,-0.00921739025024816
AFSC,Recruitment,0.174696100182011
AFSC,F,-0.0108452460182793
AFSC,Fraction unfished,-0.0116565881842551
