"year","month","fleet","sex","part","Nsamp","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","74"
2002,7,12,0,0,NA,0,0,1,1,3,9,9,20,19,18,14,10,10,10,7,4,1,1,4,0,0,0
2003,7,12,0,0,NA,0,2,0,4,5,12,23,30,31,37,25,27,26,24,22,19,19,8,0,3,0,0
2004,7,12,0,0,NA,0,0,0,1,0,2,14,20,21,23,21,18,19,10,10,6,5,5,0,0,0,0
2005,7,12,0,0,NA,0,0,0,1,1,7,6,11,18,17,11,20,9,19,11,10,9,2,2,2,0,0
2006,7,12,0,0,NA,0,0,0,0,2,1,2,1,8,10,12,15,19,12,8,6,5,2,1,0,0,0
2007,7,12,0,0,NA,0,0,0,0,1,3,7,18,14,41,46,53,76,69,55,30,20,25,5,1,1,0
2008,7,12,0,0,NA,0,0,1,2,2,6,4,19,36,42,37,52,31,26,37,30,14,6,2,1,0,0
2009,7,12,0,0,NA,0,0,0,1,1,2,2,10,18,18,22,23,15,15,9,13,9,6,1,0,0,0
2010,7,12,0,0,NA,0,0,0,2,1,3,6,8,16,9,21,8,11,8,11,5,1,1,0,0,0,0
2011,7,12,0,0,NA,0,0,0,0,3,1,1,13,14,14,12,19,9,11,6,4,5,1,2,1,1,1
2012,7,12,0,0,NA,0,0,0,2,0,1,4,14,2,18,23,10,12,17,4,5,2,1,0,0,0,0
2013,7,12,0,0,NA,0,0,1,0,2,2,7,8,15,23,25,20,14,16,6,6,4,0,0,0,0,0
2014,7,12,0,0,NA,0,1,0,3,2,1,8,17,23,20,28,34,32,33,23,6,11,3,1,2,1,0
2015,7,12,0,0,NA,0,0,0,0,0,1,2,5,10,10,20,18,20,15,6,8,3,0,0,0,0,0
2016,7,12,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,3,5,5,0,1,0,0,0,0,0,0
2017,7,12,0,0,NA,0,0,2,0,2,2,1,2,0,4,12,10,8,11,4,3,0,2,0,1,0,0
2018,7,12,0,0,NA,0,1,0,0,1,0,3,4,4,1,11,6,13,7,11,3,0,0,0,0,0,0
2019,7,12,0,0,NA,0,0,0,1,0,1,3,2,3,5,8,11,21,9,1,4,0,1,0,0,0,0
2021,7,12,0,0,NA,0,0,0,0,0,0,0,6,7,11,20,22,32,28,11,6,5,0,1,0,0,0
2022,7,12,0,0,NA,0,0,1,0,3,3,10,14,11,22,17,23,27,26,13,6,2,0,0,0,0,0
2023,7,12,0,0,NA,1,2,2,0,3,2,5,11,10,27,20,28,34,24,14,5,4,1,0,0,0,0
