"","unsexed.year","unsexed.month","unsexed.fleet","unsexed.sex","unsexed.partition","unsexed.age_error","unsexed.age_low","unsexed.age_high","unsexed.input_n","unsexed.U0","unsexed.U1","unsexed.U2","unsexed.U3","unsexed.U4","unsexed.U5","unsexed.U6","unsexed.U7","unsexed.U8","unsexed.U9","unsexed.U10","unsexed.U11","unsexed.U12","unsexed.U13","unsexed.U14","unsexed.U15","unsexed.U16","unsexed.U17","unsexed.U18","unsexed.U19","unsexed.U20","unsexed.U21","unsexed.U22","unsexed.U23","unsexed.U24","unsexed.U25","unsexed.U26","unsexed.U27","unsexed.U28","unsexed.U29","unsexed.U30","unsexed.U31","unsexed.U32","unsexed.U33","unsexed.U34","unsexed.U35","unsexed.U36","unsexed.U37","unsexed.U38","unsexed.U39","unsexed.U40","unsexed.U41","unsexed.U42","unsexed.U43","unsexed.U44","unsexed.U45","unsexed.U46","unsexed.U47","unsexed.U48","unsexed.U49","unsexed.U50","unsexed.U51","unsexed.U52","unsexed.U53","unsexed.U54","unsexed.U55","unsexed.U56","unsexed.U57","unsexed.U58","unsexed.U59","unsexed.U60","unsexed.U61","unsexed.U62","unsexed.U63","unsexed.U64","unsexed.U65"
"1",1998,7,7,0,0,"Enter Age Error Vector",-1,-1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"2",1999,7,7,0,0,"Enter Age Error Vector",-1,-1,89,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,8,3,7,5,4,1,2,0,0,1,3,3,3,1,4,3,0,3,1,0,0,0,0,1,1,1,0,4,0,0,1,0,2,0,3,1,2,0,0,0,1,0,0,1,1,1,0,0,0,1,4
"3",2000,7,7,0,0,"Enter Age Error Vector",-1,-1,181,0,0,0,0,0,0,0,2,1,0,1,7,7,3,10,7,14,16,9,8,4,4,4,2,2,7,8,4,6,4,9,4,6,2,0,1,0,0,1,1,5,1,0,0,3,1,0,0,3,2,1,1,2,0,0,0,0,1,1,0,1,0,1,0,1,3
"4",2001,7,7,0,0,"Enter Age Error Vector",-1,-1,90,0,0,0,0,0,0,0,0,1,1,0,4,3,2,7,6,10,5,6,8,3,1,1,3,1,1,1,0,0,0,1,2,2,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,7
"5",2004,7,7,0,0,"Enter Age Error Vector",-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2005,7,7,0,0,"Enter Age Error Vector",-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2006,7,7,0,0,"Enter Age Error Vector",-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2008,7,7,0,0,"Enter Age Error Vector",-1,-1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",2010,7,7,0,0,"Enter Age Error Vector",-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2011,7,7,0,0,"Enter Age Error Vector",-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
