"","year","month","fleet","sex","partition","input_n","L10","L12","L14","L16","L18","L20","L22","L24","L26","L28","L30","L32","L34","L36","L38","L40","L42","L44","L46","L48","L50","L52","L54","L56","L58","L60","L62","L64","L66","L68","L70","L72","L74"
"1",2001,7,6,0,0,368,0,0,0,0,0,0,0,3,1,12,9,11,23,14,35,30,39,41,33,28,22,21,14,11,5,2,4,3,2,4,0,0,1
"2",2002,7,6,0,0,448,0,0,0,0,0,0,1,5,3,6,10,13,23,35,30,47,42,35,60,37,30,17,17,7,8,9,7,3,2,1,0,0,0
"3",2003,7,6,0,0,492,0,0,0,0,0,1,3,3,8,11,6,14,14,25,32,34,37,43,46,47,34,44,28,16,11,11,9,2,7,4,1,1,0
"4",2004,7,6,0,0,23,0,0,0,0,0,1,1,0,0,0,1,2,0,0,5,3,5,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"5",2005,7,6,0,0,26,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,2,3,2,0,1,2,0,2,0,1,1,1,1,0,0,0,1
"6",2006,7,6,0,0,49,0,0,0,0,1,0,2,1,7,1,3,1,5,1,2,1,2,3,1,4,4,3,1,0,2,0,2,0,1,0,1,0,0
"7",2007,7,6,0,0,62,0,0,0,0,0,0,3,1,4,5,3,4,7,1,5,2,3,7,0,5,5,2,3,0,0,0,1,1,0,0,0,0,0
"8",2008,7,6,0,0,74,0,0,0,0,0,1,1,3,5,8,5,6,7,10,3,5,2,1,1,4,1,2,4,1,0,2,0,0,2,0,0,0,0
"9",2009,7,6,0,0,39,1,0,0,0,0,0,0,1,2,4,4,2,6,4,1,3,6,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
"10",2010,7,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,3,6,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",2011,7,6,0,0,49,0,0,0,0,1,0,0,0,1,1,1,1,4,4,6,3,2,7,3,1,1,2,4,0,2,3,1,0,0,0,1,0,0
"12",2012,7,6,0,0,112,0,0,0,0,0,1,0,0,3,2,3,5,10,8,12,7,13,12,8,6,7,1,6,1,2,3,1,1,0,0,0,0,0
"13",2013,7,6,0,0,57,1,0,0,0,0,1,3,1,3,1,5,4,2,6,1,7,10,5,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"14",2014,7,6,0,0,90,0,0,0,0,0,1,2,0,0,3,2,1,8,5,8,5,6,9,5,5,7,5,6,4,2,2,1,1,0,2,0,0,0
"15",2015,7,6,0,0,42,0,0,0,0,1,0,1,3,1,0,1,2,5,1,4,2,5,4,4,1,1,0,2,0,2,2,0,0,0,0,0,0,0
"16",2016,7,6,0,0,34,0,0,0,0,0,0,1,0,1,0,0,2,4,3,2,6,3,1,2,1,3,2,0,1,1,1,0,0,0,0,0,0,0
"17",2017,7,6,0,0,102,0,0,0,0,0,1,3,0,1,2,6,9,9,8,8,13,5,8,3,3,2,6,3,0,2,0,3,1,1,3,1,1,0
"18",2018,7,6,0,0,120,0,0,0,0,0,0,2,1,3,3,5,13,12,17,12,4,8,6,12,3,6,5,2,3,1,0,1,0,0,0,1,0,0
"19",2019,7,6,0,0,120,0,0,0,0,1,0,1,4,1,1,3,9,7,12,11,12,11,5,9,1,5,7,3,7,3,1,5,1,0,0,0,0,0
"20",2020,7,6,0,0,12,0,0,0,0,0,0,0,2,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"21",2021,7,6,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"22",2022,7,6,0,0,89,0,0,0,0,0,1,1,1,4,3,5,5,14,7,6,5,8,6,3,4,4,2,2,2,3,3,0,0,0,0,0,0,0
"23",2023,7,6,0,0,82,0,0,0,0,0,0,0,2,1,2,3,4,6,4,9,8,6,5,4,2,3,6,5,3,5,2,1,1,0,0,0,0,0
"24",2024,7,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0
