"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",9001.55,19432.1,30728.9,29632.6,4,"0"
"2",1011390,1.92974,108.855,1.35883e-07,5,"0"
"3",7253,0.000524609,1089.91,354.76,1,"Best Fit"
"4",7253,0.000252683,1089.91,354.76,1,"Best Fit"
"5",7253,0.000275692,1089.91,354.76,1,"Best Fit"
"6",7392.46,9137.8,1036.16,320.856,0,"0"
"7",7253,0.0002086,1089.91,354.76,1,"Best Fit"
"8",9001.55,19432.1,30728.9,29632.6,4,"0"
"9",1011390,1.92974,108.855,1.35883e-07,5,"0"
"10",7476.85,5064.36,1007.97,282.701,2,"0"
"11",7253,8.83463e-05,1089.91,354.76,1,"Best Fit"
"12",7531.69,9430.27,1038.68,360.114,2,"0"
"13",7311,9.58994e-05,1070.79,357.786,1,"0"
"14",7253,0.00178143,1089.91,354.76,1,"Best Fit"
"15",9001.55,19432.1,30728.9,29632.6,4,"0"
"16",7253,4.23603e-05,1089.91,354.76,1,"Best Fit"
"17",7253,0.000224625,1089.91,354.76,1,"Best Fit"
"18",1010530,0.00534243,375.526,42.0565,4,"0"
"19",7253,7.75403e-05,1089.91,354.76,1,"Best Fit"
"20",9942.83,226524,4739.45,4068.34,7,"0"
"21",8852.56,450843,15925.3,14768.5,4,"0"
"22",1010910,0.000325051,49.9032,0.0502589,8,"0"
"23",7253,0.000100576,1089.91,354.76,1,"Best Fit"
"24",7253,0.000213146,1089.91,354.76,1,"Best Fit"
"25",7253,9.19241e-05,1089.91,354.76,1,"Best Fit"
"26",20268.5,144451,463.735,104.45,4,"0"
"27",7965.28,235157,39250.6,53222.6,0,"0"
"28",7253,0.000347334,1089.91,354.76,1,"Best Fit"
"29",7253,0.000109866,1089.91,354.76,1,"Best Fit"
"30",1010910,0.000325051,49.9032,0.0502589,8,"0"
"31",7253,0.000205374,1089.91,354.76,1,"Best Fit"
"32",9853.58,425896,1544.91,1006.65,1,"0"
"33",7253,0.000851166,1089.91,354.76,1,"Best Fit"
"34",7253,0.000428677,1089.91,354.76,1,"Best Fit"
"35",7253,0.00138112,1089.91,354.76,1,"Best Fit"
"36",10605.2,73063.7,4040.99,3375.71,2,"0"
"37",1010910,0.000325051,49.9032,0.0502589,8,"0"
"38",7253,0.000100576,1089.91,354.76,1,"Best Fit"
"39",7253,0.00272664,1089.91,354.76,1,"Best Fit"
"40",7253,0.000312006,1089.91,354.76,1,"Best Fit"
"41",7253,0.00018413,1089.91,354.76,1,"Best Fit"
"42",7253,0.00186435,1089.91,354.76,1,"Best Fit"
"43",7253,8.85332e-05,1089.91,354.76,1,"Best Fit"
"44",1010910,0.000325051,49.9032,0.0502589,8,"0"
"45",8391.93,2286,1099.89,375.173,5,"0"
"46",9230.98,267086,3757.68,3073.41,4,"0"
"47",7253,0.00146808,1089.91,354.76,1,"Best Fit"
"48",7253,9.4039e-05,1089.91,354.76,1,"Best Fit"
"49",1010910,0.00705097,49.9032,0.0502589,8,"0"
"50",7253,0.000623804,1089.91,354.76,1,"Best Fit"
