"Var1","Freq"
"L_at_Amin_Fem_GP_1",7
"LnQ_base_6_OR_REC(6)_BLK2add_2005",2
"Q_extraSD_10_TRI_ORWA(10)",7
"Q_extraSD_3_CA_REC(3)",4
"Q_extraSD_7_WA_REC(7)",2
"Q_extraSD_8_CACPFV(8)",8
"Q_extraSD_9_OR_RECOB(9)",6
"RecrDist_Area_2",8
"Size_DblN_ascend_se_1_CA_TWL(1)",1
"Size_DblN_ascend_se_4_ORWA_TWL(4)",1
"Size_DblN_ascend_se_6_OR_REC(6)",1
"Size_DblN_peak_1_CA_TWL(1)",7
"Size_DblN_peak_10_TRI_ORWA(10)",34
"Size_DblN_peak_11_NWFSC_ORWA(11)",5
"Size_DblN_peak_12_IPHC_ORWA(12)",1
"Size_DblN_peak_2_CA_NONTWL(2)",5
"Size_DblN_peak_3_CA_REC(3)",5
"Size_DblN_peak_4_ORWA_TWL(4)",8
"Size_DblN_peak_7_WA_REC(7)",5
"Size_DblN_peak_9_OR_RECOB(9)",3
"SR_LN(R0)",5
