label,alt_text
maturity,Plot of the estimated functional maturity at length relationship for Yelloweye Rockfish.
fecundity,"Plot of the estimated fecundity at length relationship for Yelloweye Rockfish, , showing an exponential increase of fecunity at length.."
bridge3-comp2,Figure showing that the trajectory of the spawning output from the 2017 model does not change after updating and extending historical catch.
bridge3-comp4,Figure showing that the trajectory of the spawning output relative to unfished from the 2017 model does not change after updating and extending historical catch.
bridge3-comp18,Figure showing that the trajectory of the adult Yelloweye Rockfish biomass from the 2017 model does not change after updating and extending historical catch.
bridge5-comp2,"Figure showing that the trajectory of the spawning output is simliar with updated and extended catch and indicies, but, in the current model the scale increased slightly in the historical period and decreased slightly in the contemporary period."
bridge14-comp2,"Figure showing that the trajectory of the spawning output is simliar with updated and extended catch, indicies, and compositional data."
bridge14-comp11,Figure showing minor differences in recruitment deviations with the additional of contemporary catch and compositional data and indices.
bridge23-comp2,"Figure showing that the trajectory of the spawning output is simliar with updated and extended data, tuning, and final model adjustments, but the scale increased slightly in the current model."
bridge23-comp4,"Figure showing that the trajectory of the spawning output relative to unfished is simliar with updated and extended data, tuning, and final model adjustments, but the scale increased slightly in the current model."
ss3exe_2,Figure showing that the trajectory from the 2017 assessment is similar when using the newest version of stock synthesis.
growth,Growth curve asymptotes around age 40. See parameter table for growth parameters.
biasadj,"Time series plot showing a period of higher variance (low transformed variance) through the 1940s, followed by a informed recruitment deviations. The bias adjustment used in the model is as recommended."
selex_allfleets,Asymptotic selectivity is estimated for all fleets.
spoutlen,"Plot of estimated spawning output at length, showing an exponential increase of spawning output at length after 40 cm."
SRcurve,"Plot of estimated recuitments by year, with the fitted stock-recruitment curve before and after bias adjustment."
recdevs_err,Plot of recruitment deviations and uncertainty intervals over time showing increasing recruitment in the early 1980s and 2010s and decreasing recruitment in the 1990s and more recent years.
indexfit3,"Model fit to the California MRFSS recreational index of abundance, showing the model fit falls within the bounds of uncertainty except for one year."
indexfit6,"Model fit to the Oregon recreational index of abundance, showing the model fit falls within the bounds of uncertainty except for most years and includes and offset between two sampling periods."
indexfit7,"Model fit to the Washington recreational index of abundance, showing the model fit falls within the bounds of uncertainty except for one year."
indexfit8,"Model fit to the California CPFV observer index of abundance, showing the model fit falls within the bounds of uncertainty."
indexfit9,"Model fit to the Oregon onboard observer index of abundance, showing the model fit falls within the bounds of uncertainty. The index values increase slightly over time."
indexfit10,"Model fit to the Triennial survey index of abundance, howing the model fit falls within the bounds of uncertainty."
indexfit11,Model fit to the WCGBTS survey index. The model fit generally well to the index. The index values increase slightly over time. Data was missing for 2020.
indexfit12,"Model fit to the IPHC survey index. The model fit generally well to the index and is consistant across all  years, however, the model fit does not caputure yearly varriation well."
agglencomps,"A 3 by 4 plot panel showing model fits to the length compostion data aggregated across time and separated by fleet. Length (cm) is on the x-axis, and proportion is on the y-axis. The greyed area under the curve is the length data, and the green line is the model estimates, which fit the data reasonably well."
pearsonlenfit1,There are no clear patters in the residuals in the observed fits.
pearsonlenfit2,There are no clear patters in the residuals in the observed fits.
mean-age-2,"Mean age for the conditional age-at-length California nontrawl fleet is available from 1978 to 1988, and in 2005. Mean age varried widely from 5 to 25 years old. Limited years of data were available."
mean-age-3,"The California recreational fleet had very sporatic conditional ages avialable, some were available for the early 1980s, 1995, and early 2010's. Overall, mean age ranged from 10-50 years old. Limited years of data were available."
mean-age-4,"Mean age for the conditional age-at-length Oregon/Wasington trawl fleet is available from 2000 to 2024. Mean age varried widely from 2000 to 2011 around 5 to 40 years old. Then, from 2012 to 2024, mean age varried closer to 10-20 years old with less variance."
mean-age-5,"Mean age for the conditional age-at-length Oregon/Wasington nontrawl fleet is available from 2001 to 2024. Mean age varried consistently around 25 years old, but with wide error bars around 2011, 2014, and 2020. Also, data was missing for 2016."
mean-age-6,"Mean age for the conditional age-at-length Oregon/Wasington recreational fleet is available from 1980 to 2016, with very sparce data from 1980 to 2009. Mean age before 2009 ranged from 15-30 years. From 2009-2016 mean age varried from 5 to 25, with very wide error bars."
mean-age-7,"Mean age for the conditional age-at-length Wasington recreational fleet is available from 1998 to 2024, with few years of missing data. Mean age varries between 10 and 35 years old. In 2010, mean age jumps to around 50 years old with high varriance."
mean-age-11,"Mean age for the conditional age-at-length WCGBTS survey is available from 2003 to 2024, with data missing in 2020. Mean age varries between 20 and 25 years old until 2015, where the mean age drops to 15-20."
mean-age-12,"Mean age for the conditional age-at-length IPHC survey is available from 2001 to 2024, with data missing in 2020 and 2021. Mean age varries between 30 and 40 years old. However, the model expectation line consistently under estimates mean age across years, potentially due to high varriance in 2016 data."
spout_combined,The combined area spawning output is relatively unfished between the start of the model until the mid 1950s with spawnign output sharply decreasing to low levels by 2000 remaining low until the early 2000s where spawning output begins to increase and reaches the management target of 0.40 by 2024.
spout_area,"Spawning output is relatively unfished between the start of the model until the mid 1950s with spawning output sharply decreasing to low levels by 2000 remaining low until the early 2000s where the spawnig output begins to increase and reaches the management target of 0.40 by 2024. The two areas generally follow the same trend, with Area 1 (California) consistently having a much lower spawning output compared to Area 2 (Oregon and Washington)"
status_combined,The combined area stock status is relatively unfished between the start of the model until the mid 1950s with the stock sharply decreasing to low levels by 2000 remaining low until the early 2000s where the stock begins to increase and reaches the management target of 0.40 by 2024.
status_area,"Stock status is relatively unfished between the start of the model until the mid 1950s with the stock sharply decreasing to low levels by 2000 remaining low until the early 2000s where the stock begins to increase and reaches the management target of 0.40 by 2024. The two areas generally follow the same trend, with Area 1 (California) consistently having a much lower relative stock status compared to Area 2 (Oregon and Washington)"
