"year","month","fleet","partition","type","obs","cv"
2003,"Month","fixed-WA",1,2,2.6528381806586,0.12491693725288
2008,"Month","fixed-OR",1,2,2.50091779789213,0.245936110461248
2011,"Month","fixed-OR",1,2,1.86686707407407,0.20197122364032
2012,"Month","fixed-OR",1,2,2.33511065681029,0.232792116246529
2013,"Month","fixed-OR",1,2,2.05332290439968,0.114238242868738
2015,"Month","fixed-OR",1,2,2.2705001152,0.116040869051898
2016,"Month","fixed-OR",1,2,1.97066596626506,0.149097041660253
2017,"Month","fixed-OR",1,2,1.92301632258002,0.122940004597746
2018,"Month","fixed-OR",1,2,1.61750871635072,0.213878198698624
2018,"Month","fixed-WA",1,2,2.07871135844501,0.100229442184231
2019,"Month","fixed-OR",1,2,1.68130916806425,0.184271988138133
2019,"Month","fixed-WA",1,2,2.62042002889359,0.211175850799664
2021,"Month","fixed-OR",1,2,2.04808913769687,0.0871894464800516
2022,"Month","fixed-OR",1,2,2.36975430564931,0.14474808819243
2023,"Month","fixed-OR",1,2,2.31662640805518,0.18378752925364
