"year","Group","discard_mt","dead_discard_mt","landed_mt","catch","gemm_discard_rate","gemm_dead_discard_rate","prop_discard","prop_landed","prop_catch"
2002,"Non-Catch Shares-Fixed Gear",1.909936378,1.909936378,0.278965028,2.188901407,0.872554776914424,0.872554776914424,0.639905730182476,0.0854366371538306,0.35023073291135
2002,"Non-Catch Shares-Trawl",1.074778851,1.074778851,2.986203608,4.060982459,0.264659811228207,0.264659811228207,0.360094269817524,0.914563362846169,0.64976926708865
2003,"Non-Catch Shares-Fixed Gear",11.519388052,8.217134794,0.991751806,9.208886601,0.920730499598256,0.892304917078684,0.974841516668992,0.70391775014547,0.928003902475675
2003,"Non-Catch Shares-Trawl",0.29728969,0.29728969,0.41715116,0.714440851,0.416115189941897,0.416115189941897,0.025158483331008,0.29608224985453,0.0719960975243246
2004,"Non-Catch Shares-Fixed Gear",3.114423809,2.110905392,0.19147791,2.302383302,0.942079975064135,0.916834911965497,0.945509509793124,0.167310343765065,0.6703029789808
2004,"Non-Catch Shares-Trawl",0.179486804,0.179486804,0.952969622,1.132456426,0.158493342330153,0.158493342330153,0.0544904902068756,0.832689656234935,0.3296970210192
2005,"Non-Catch Shares-Fixed Gear",2.853523263,2.106909991,0.035834165,2.142744156,0.987597877419823,0.983276507883753,0.172228542087713,0.0171854063984888,0.171895978723241
2005,"Non-Catch Shares-Recreational",12.70508994,7.263669175,0.983817288,8.247486463,0.928130326868777,0.880713076351975,0.766834161064091,0.471820674937984,0.661632772906773
2005,"Non-Catch Shares-Trawl",1.009623562,1.009623562,1.065499411,2.075122974,0.486536737888063,0.486536737888063,0.060937296848196,0.510993918663528,0.166471248369986
2006,"Non-Catch Shares-Fixed Gear",2.291513411,1.474274551,0.000907194,1.475181745,0.999604263721055,0.99938502899519,0.148604977707222,0.000429420104269088,0.128317705195687
2006,"Non-Catch Shares-Recreational",12.245394021,7.026187124,1.072002418,8.098189542,0.919503603958155,0.867624434765298,0.794115581768616,0.507432137022814,0.704415643557974
2006,"Non-Catch Shares-Trawl",0.883258476,0.883258476,1.039692921,1.922951397,0.459324389258082,0.459324389258082,0.0572794405241622,0.492138442872917,0.167266651246339
2007,"Non-Catch Shares-Fixed Gear",4.134299233,2.441182521,0.183706795,2.624889316,0.95745564183821,0.930013508043857,0.190018332346387,0.0399992058894514,0.157619692044759
2007,"Non-Catch Shares-Recreational",17.621362105,9.617655635,3.871201157,13.488856792,0.819881830295948,0.713007468557607,0.809903118317396,0.842891914359105,0.809980611613297
2007,"Non-Catch Shares-Trawl",0.001709027,0.001709027,0.537853102,0.53956213,0.00316743319841115,0.00316743319841115,7.85493362170838e-05,0.117108879751444,0.0323996963419443
