"YEAR","FLEET","120","300","330","340","350","360","370","380","390","391","392","393","430","999","TOTAL"
"1892","NTRW",0,0,0,0,3.5402,0,0,0,0,0,0,0,0,0.006,3.5462
"1893","NTRW",0,0,0,0,3.5402,0,0,0,0,0,0,0,0,0.006,3.5462
"1894","NTRW",0,0,0,0,3.5402,0,0,0,0,0,0,0,0,0.006,3.5462
"1895","NTRW",0,0,0,0,0.9103,0,0,0,0,0,0,0,0,0.0016,0.9119
"1896","NTRW",0,0,0,0,0.2192,0,0,0,0,0,0,0,0,0.0004,0.2196
"1897","NTRW",0,0,0,0,0.2234,0,0,0,0,0,0,0,0,0.0004,0.2238
"1898","NTRW",0,0,0,0,0.1264,0,0,0,0,0,0,0,0,0.0002,0.1266
"1899","NTRW",0,0,0,0,0.2138,0,0,0,0,0,0,0,0,0.0004,0.2142
"1900","NTRW",0,0,0,0,0.3012,0,0,0,0,0,0,0,0,0.0005,0.3017
"1901","NTRW",0,0,0,0,0.3887,0,0,0,0,0,0,0,0,0.0007,0.3894
"1902","NTRW",0,0,0,0,0.4761,0,0,0,0,0,0,0,0,0.0008,0.4769
"1903","NTRW",0,0,0,0,0.5635,0,0,0,0,0,0,0,0,0.001,0.5645
"1904","NTRW",0,0,0,0,0.6509,0,0,0,0,0,0,0,0,0.0011,0.652
"1905","NTRW",0,0,0,0,0.7383,0,0,0,0,0,0,0,0,0.0012,0.7395
"1906","NTRW",0,0,0,0,0.8257,0,0,0,0,0,0,0,0,0.0014,0.8271
"1907","NTRW",0,0,0,0,0.9131,0,0,0,0,0,0,0,0,0.0016,0.9147
"1908","NTRW",0,0,0,0,1.0005,0,0,0,0,0,0,0,0,0.0017,1.0022
"1909","NTRW",0,0,0,0,1.0879,0,0,0,0,0,0,0,0,0.0018,1.0897
"1910","NTRW",0,0,0,0,1.1753,0,0,0,0,0,0,0,0,0.002,1.1773
"1911","NTRW",0,0,0,0,1.2627,0,0,0,0,0,0,0,0,0.0022,1.2649
"1912","NTRW",0,0,0,0,1.3502,0,0,0,0,0,0,0,0,0.0023,1.3525
"1913","NTRW",0,0,0,0,1.4376,0,0,0,0,0,0,0,0,0.0024,1.44
"1914","NTRW",0,0,0,0,1.525,0,0,0,0,0,0,0,0,0.0026,1.5276
"1915","NTRW",0,0,0,0,1.6124,0,0,0,0,0,0,0,0,0.0028,1.6152
"1916","NTRW",0,0,0,0,1.6998,0,0,0,0,0,0,0,0,0.0029,1.7027
"1917","NTRW",0,0,0,0,1.7872,0,0,0,0,0,0,0,0,0.003,1.7902
"1918","NTRW",0,0,0,0,1.8746,0,0,0,0,0,0,0,0,0.0032,1.8778
"1919","NTRW",0,0,0,0,1.962,0,0,0,0,0,0,0,0,0.0033,1.9653
"1920","NTRW",0,0,0,0,2.0494,0,0,0,0,0,0,0,0,0.0035,2.0529
"1921","NTRW",0,0,0,0,2.1368,0,0,0,0,0,0,0,0,0.0036,2.1404
"1922","NTRW",0,0,0,0,2.2242,0,0,0,0,0,0,0,0,0.0038,2.228
"1923","NTRW",0,0,0,0,2.3117,0,0,0,0,0,0,0,0,0.0039,2.3156
"1924","NTRW",0,0,0,0,2.3991,0,0,0,0,0,0,0,0,0.0041,2.4032
"1925","NTRW",0,0,0,0,2.4865,0,0,0,0,0,0,0,0,0.0042,2.4907
"1926","NTRW",0,0,0,0,2.5739,0,0,0,0,0,0,0,0,0.0044,2.5783
"1927","NTRW",0,0,0,0,2.669,0,0,0,0,0,0,0,0,0,2.669
"1928","NTRW",0,0,0,0,4.4541,0,0,0,0,0,0,0,0,0,4.4541
"1929","NTRW",0.4089,0,0,0,7.0476,0,0,0,0,0,0,0,0,0,7.4565
"1930","NTRW",0.737,0,0,0,5.9106,0,0,0,0,0,0,0,0,0,6.6476
"1931","NTRW",0.3483,0,0,0,4.824,0,0,0,0,0,0,0,0,0.0424,5.2147
"1932","NTRW",0,0,0,0,1.7766,0,0,0,0,0,0,0,0,0,1.7766
"1932","TRW",0,0,0,0,0,0,0,0,0.0182,0,0,0,0,0,0.0182
"1933","NTRW",0.0675,0,0,0,2.6348,0,0,0,0,0,0,0,0,0.0309,2.7332
"1933","TRW",0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0.011
"1934","NTRW",0.1094,0,0,0,3.0036,0,0,0,0,0,0,0,0,0,3.113
"1934","TRW",0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.0005
"1935","NTRW",0,0,0,0,2.8344,0,0,0,0,0,0,0,0,0,2.8344
"1935","TRW",0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0,0.0089
"1936","NTRW",0.4164,0,0,0,6.1885,0,0,0,0,0,0,0,0,0,6.6049
"1936","TRW",0,0,0,0,0,0,0,0,0.0322,0,0,0,0,0,0.0322
"1937","NTRW",1.3691,0,0,0,6.1341,0,0,0,0,0,0,0,0,0,7.5032
"1937","TRW",0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0.063
"1938","NTRW",1.602,0,0,0,3.753,0,0,0,0,0,0,0,0,1.946,7.301
"1939","NTRW",1.9372,0,0,0,1.7949,0,0,0,0,0,0,0,0,0,3.7321
"1939","TRW",0,0,0,0,0,0,0,0,0.0895,0,0,0,0,0,0.0895
"1940","NTRW",2.3006,0,0,0,5.8863,0,0,0,0,0,0,0,0,0.9065,9.0934
"1940","TRW",0,0,0,0,0,0,0,0,2.0598,0,0,0,0,0,2.0598
"1941","NTRW",1.5373,0,0,0,8.9003,0,0,0,0,0,0,0,0,2.3709,12.8085
"1941","TRW",0,0,0,0,0,0,0,0,3.1711,0,0,0,0,0,3.1711
"1942","NTRW",1.8507,0,0,0,15.5354,0,0,0,0,0,0,0,0,0.524,17.9101
"1942","TRW",0,0,0,0,0,0,0,0,5.9388,0,0,0,0,0,5.9388
"1943","NTRW",2.0875,0,0,0,20.0912,0,0,0,0,0,0,0,0,23.189,45.3677
"1943","TRW",0,0,0,0,0,0,0,0,20.6823,0,0,0,0,0,20.6823
"1944","NTRW",2.9068,0,0,0,4.4544,0,0,0,0,0,0,0,0,3.3175,10.6787
"1944","TRW",0,0,0,0,0,0,0,0,36.2961,0,0,0,0,0,36.2961
"1945","NTRW",2.7242,0,0,0,2.8865,0,0,0,0,0,0,0,0,0.5555,6.1662
"1945","TRW",0,0,0,0,0,0,0,0,56.3542,0,0,0,0,0,56.3542
"1946","NTRW",2.7933,0,0,0,4.2262,0,0,0,0,0,0,0,0,0.7493,7.7688
"1946","TRW",0,0,0,0,0,0,0,0,34.6085,0,0,0,0,0,34.6085
"1947","NTRW",1.0388,0,0,0,3.0471,0,0,0,0,0,0,0,0,0.1284,4.2143
"1947","TRW",0,0,0,0,0,0,0,0,21.3131,0,0,0,0,0,21.3131
"1948","NTRW",2.3195,0,0,0,4.3614,0,0,0,0,0,0,0,0,0.0679,6.7488
"1948","TRW",0,0,0,0,0,0,0,0,13.9854,0,0,0,0,0,13.9854
"1949","NTRW",1.5644,0,0,0,1.458,0,0,0,0,0,0,0,0,0.9888,4.0112
"1949","TRW",0,0,0,0,0,0,0,0,11.9157,0,0,0,0,0,11.9157
