STLKEY,sample_code,fish_number,species_name,sample_month,sample_day,sample_year,project_code,data_type_code,fish_length,length_type_name,weight_gm,sex_name,maturity,tag_number,ovaries_number,best_age,age_1,age_2,age_3,age_readability_code
20180984,410129-C-18030,55,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,64,NA,5480,Female,7,NA,NA,62,71,62,NA,2
20180984,410129-C-18030,56,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,46,NA,1950,Male,2,NA,NA,26,26,NA,NA,2
20180984,410129-C-18030,57,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,55,NA,3860,Male,7,NA,NA,41,41,NA,NA,2
20180984,410129-C-18030,58,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,60,NA,4820,Female,7,NA,NA,57,53,57,NA,2
20180984,410129-C-18030,59,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,54,NA,3040,Female,7,NA,NA,32,32,NA,NA,2
20180985,410129-C-18030,6,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,56,NA,3300,Male,7,NA,NA,40,43,40,NA,2
20180984,410129-C-18030,60,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,54,NA,3400,Male,7,NA,NA,34,34,NA,NA,2
20180984,410129-C-18030,61,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,45,NA,2030,Female,7,NA,NA,22,19,29,22,2
20180984,410129-C-18030,62,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,48,NA,2170,Male,7,NA,NA,20,20,NA,NA,2
20180984,410129-C-18030,63,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,44,NA,1580,Female,7,NA,NA,21,21,NA,NA,2
20180984,410129-C-18030,64,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,52,NA,2840,Female,7,NA,NA,45,45,49,NA,2
20180984,410129-C-18030,65,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,58,NA,4070,Male,7,NA,NA,57,57,NA,NA,2
20180984,410129-C-18030,66,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,62,NA,4820,Male,7,NA,NA,60,60,NA,NA,2
20180984,410129-C-18030,67,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,55,NA,3270,Female,7,NA,NA,42,42,NA,NA,2
20180984,410129-C-18030,68,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,53,NA,3000,Male,7,NA,NA,35,35,NA,NA,2
20180984,410129-C-18030,69,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,43,NA,1470,Female,7,NA,NA,19,19,NA,NA,2
20180985,410129-C-18030,7,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,57,NA,3630,Male,7,NA,NA,37,37,NA,NA,2
20180984,410129-C-18030,70,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,60,NA,4200,Female,7,NA,NA,43,43,45,NA,2
20180984,410129-C-18030,71,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,53,NA,3810,Male,7,NA,NA,33,33,NA,NA,2
20180984,410129-C-18030,8,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,55,NA,3140,Male,7,NA,NA,33,33,NA,NA,2
20180984,410129-C-18030,9,Yelloweye Rockfish,7,31,2018,ODFW-IPHC,C,64,NA,4690,Female,7,NA,NA,71,66,71,NA,2
20190195,410129-C-19043,1,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2676.19,Male,7,NA,NA,33,36,33,NA,2
20190195,410129-C-19043,10,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,2948.35,Male,7,NA,NA,34,34,NA,NA,2
20190195,410129-C-19043,100,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,2857.63,Male,7,NA,NA,43,43,34,NA,2
20190194,410129-C-19043,101,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,43,NA,1769.01,Male,2,NA,NA,20,19,20,NA,2
20190195,410129-C-19043,102,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,48,NA,2540.12,Female,3,NA,NA,36,36,37,NA,2
20190194,410129-C-19043,103,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,44,NA,1678.29,Female,7,NA,NA,22,22,NA,NA,2
20190195,410129-C-19043,104,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,46,NA,2086.52,Male,7,NA,NA,21,21,21,NA,2
20190194,410129-C-19043,105,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,51,NA,2540.12,Male,7,NA,NA,27,27,NA,NA,2
20190194,410129-C-19043,106,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,46,NA,1950.45,Male,7,NA,NA,21,21,22,NA,3
20190195,410129-C-19043,107,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2494.76,Female,3,NA,NA,36,36,NA,NA,2
20190195,410129-C-19043,108,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2585.48,Female,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,109,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2902.99,Male,7,NA,NA,38,38,38,NA,2
20190195,410129-C-19043,11,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,47,NA,2131.88,Male,7,NA,NA,20,17,20,NA,2
20190195,410129-C-19043,110,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,48,NA,2630.84,Female,7,NA,NA,38,38,NA,NA,2
20190195,410129-C-19043,111,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,46,NA,1905.09,Female,7,NA,NA,24,24,NA,NA,3
20190195,410129-C-19043,112,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2766.91,Male,7,NA,NA,33,33,37,NA,2
20190195,410129-C-19043,12,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,51,NA,2766.91,Male,7,NA,NA,36,36,NA,NA,2
20190195,410129-C-19043,13,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,48,NA,2812.27,Female,7,NA,NA,33,33,34,NA,1
20190195,410129-C-19043,14,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,57,NA,3628.74,Male,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,15,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,53,NA,3265.87,Male,7,NA,NA,32,32,NA,NA,3
20190195,410129-C-19043,16,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2313.32,Male,7,NA,NA,25,25,NA,NA,2
20190195,410129-C-19043,17,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,57,NA,3991.61,Male,7,NA,NA,46,46,NA,NA,2
20190195,410129-C-19043,18,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,43,NA,1678.29,Male,2,NA,NA,15,15,NA,NA,2
20190195,410129-C-19043,19,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,56,NA,3628.74,Male,7,NA,NA,57,64,54,57,3
20190195,410129-C-19043,2,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,47,NA,2313.32,Female,7,NA,NA,36,36,NA,NA,2
20190195,410129-C-19043,20,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,58,NA,3220.51,Male,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,21,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,51,NA,2902.99,Male,7,NA,NA,44,44,NA,NA,2
20190195,410129-C-19043,22,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,56,NA,3583.38,Male,7,NA,NA,42,42,NA,NA,2
20190195,410129-C-19043,23,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,47,NA,2585.48,Female,3,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,24,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,49,NA,2404.04,Male,7,NA,NA,26,26,25,NA,2
20190195,410129-C-19043,25,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,46,NA,2358.68,Female,5,NA,NA,31,31,NA,NA,2
20190195,410129-C-19043,26,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,47,NA,2041.17,Female,7,NA,NA,27,27,NA,NA,2
20190195,410129-C-19043,27,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,49,NA,2494.76,Female,7,NA,NA,40,40,NA,NA,2
20190195,410129-C-19043,28,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,50,NA,2313.32,Male,7,NA,NA,26,26,NA,NA,2
20190195,410129-C-19043,29,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,45,NA,1995.81,Male,7,NA,NA,21,21,NA,NA,2
20190195,410129-C-19043,3,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,55,NA,3084.43,Male,7,NA,NA,41,41,NA,NA,2
20190195,410129-C-19043,30,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,46,NA,2404.04,Female,7,NA,NA,37,37,37,NA,2
20190195,410129-C-19043,31,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,52,NA,3084.43,Male,7,NA,NA,37,37,NA,NA,2
20190195,410129-C-19043,32,Yelloweye Rockfish,7,12,2019,ODFW-IPHC,C,48,NA,2540.12,Female,7,NA,NA,38,38,NA,NA,2
