Newport Specimen ,Master DFG#,Newport SampleID,Original Age Estimate,Double Read,Final Age,Ager ID ,DateAged,CRFS Tag #,Year,Month,Day,Fork Length (mm),Total Length (mm),WGT (kg),Location,Sex,Otoliths,Notes,,,
CA20090711-YEYE-100,YE-100,CA20090711,6,6,6,bkamikawa,3/24/2017,N/A,2009,7,11,,365,0.89,Los Angeles,1,Yes,,7/11/2009,,
CA20100605-YEYE-14,YE-014,CA20100605,16,,16,bkamikawa,3/23/2017,19465,2010,6,5,416,423,1.308,Fort Bragg,1,Yes,whole fish; 2 otoliths,6/5/2010,,
CA20100708-YEYE-18,YE-018,CA20100708,18,,18,bkamikawa,3/23/2017,19489,2010,7,8,497,505,2.205,Shelter Cove,1,Yes,whole fish; 2 otoliths,7/8/2010,,
CA20100501-YEYE-19,YE-019,CA20100501,64,,64,bkamikawa,3/23/2017,45308,2010,5,1,690,702,6.75,Santa Cruz,1,Yes,One otolith,5/1/2010,,
CA20100626-YEYE-4,YE-004,CA20100626,28,,28,bkamikawa,3/23/2017,19486,2010,6,26,529,538,2.647,Shelter Cove,2,Yes,whole fish; 2 otoliths,6/26/2010,,
CA20100601-YEYE-10,YE-010,CA20100601,13,11,13,bkamikawa,3/23/2017,19470,2010,6,1,357,363,0.836,Crescent City,2,Yes,whole fish; 2 otoliths,6/1/2010,,
CA20100708-YEYE-17,YE-017,CA20100708,17,,17,bkamikawa,3/23/2017,19488,2010,7,8,451,458,1.658,Shelter Cove,2,Yes,whole fish; 2 otoliths,7/8/2010,,
CA20100703-YEYE-2,YE-002,CA20100703,14,,14,bkamikawa,3/23/2017,57406,2010,7,3,432,439,1.640,Ocean Cove,9,Yes,Tag number not in RecFIN but all other info matches,7/3/2010,,
CA20100626-YEYE-5,YE-005,CA20100626,19,18,19,bkamikawa,3/23/2017,19487,2010,6,26,468,476,1.848,Shelter Cove,9,Yes,2 otoliths; 1 broken; head only fish,6/26/2010,,
CA20110621-YEYE-1,YE-001,CA20110621,14,18,15,bkamikawa,3/23/2017,75180,2011,6,21,390,396,1.083,Bodega,1,Yes,Whole fish; ,6/21/2011,,
CA20110829-YEYE-8,YE-008,CA20110829,13,,13,bkamikawa,3/23/2017,97939,2011,8,29,391,397,1.2,Crescent City,1,Yes,whole fish; 2 otoliths; tag # not in RecFIN,8/29/2011,,
CA20110603-YEYE-13,YE-013,CA20110603,8,,8,bkamikawa,3/23/2017,91134,2011,6,3,337,342,0.76,Fort Bragg,1,Yes,whole fish; 2 otoliths; tag # not in RecFIN,6/3/2011,,
CA20110605-YEYE-15,YE-015,CA20110605,13,,13,bkamikawa,3/23/2017,97925,2011,6,5,557,566,3.079,Shelter Cove,1,Yes,whole fish; 2 otoliths,6/5/2011,,
CA20110605-YEYE-16,YE-016,CA20110605,31,,31,bkamikawa,3/23/2017,97924,2011,6,5,390,396,1.083,Shelter Cove,1,Yes,whole fish; 2 otoliths,6/5/2011,,
CA20110616-YEYE-53,YE-053,CA20110616,3,,3,bkamikawa,3/24/2017,N/A,2011,6,16,132,134,,Monterey Bay,2,Yes,Whole fish; 2 otoliths,6/16/2011,,
CA20110806-YEYE-6,YE-006,CA20110806,13,,13,bkamikawa,3/23/2017,97926,2011,8,6,365,371,,Shelter Cove,9,Yes,whole fish; 2 otoliths; tag # not in RecFIN,8/6/2011,,
CA20120701-YEYE-20,YE-020,CA20120701,25,27,25,bkamikawa,3/23/2017,97192,2012,7,1,540,549,3.1,Shelter Cove,1,Yes,,7/1/2012,,
CA20120909-YEYE-21,YE-021,CA20120909,9,,9,bkamikawa,3/23/2017,30358,2012,9,9,440,447,1.8,Crescent City,1,Yes,,9/9/2012,,
CA20120628-YEYE-24,YE-024,CA20120628,10,,10,bkamikawa,3/23/2017,72691,2012,6,28,299,304,,Shelter Cove,1,Yes,,6/28/2012,,
CA20120916-YEYE-32,YE-032,CA20120916,16,,16,bkamikawa,3/24/2017,LED,2012,9,16,488,496,,Timber Cove,1,Yes,whole fish; 2 otoliths; seized by LED,9/16/2012,,
CA20120514-YEYE-3,YE-003,CA20120514,32,,32,bkamikawa,3/23/2017,19481,2012,5,14,586,596,3.95,Fort Bragg,2,Yes,whole fish; 2 otoliths; tag # not in RecFIN,5/14/2012,,
