RecFIN Year,RecFIN Month,RecFIN Week,Agency,District Name,RecFIN Mode Name,RecFIN Water_Area Name,RecFIN Subregion Name,RecFIN Trip Type Name,Species Name,Retained (# fish),Retained (mt),Released Alive (# fish),Released Alive (mt),Released Dead (# fish),Released Dead (mt),Total Mortality (# fish),Total Mortality (mt)
1990,7,27,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,76,0.195,-,-,-,-,76,0.195
1990,7,27,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,22,0.056,-,-,-,-,22,0.056
1990,7,28,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,7,28,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,81,0.208,-,-,-,-,81,0.208
1990,7,28,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,23,0.059,-,-,-,-,23,0.059
1990,7,28,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,10,0.026,-,-,-,-,10,0.026
1990,7,28,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Anything/Other Species,Yelloweye Rockfish,2,0.005,-,-,-,-,2,0.005
1990,7,28,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,59,0.151,-,-,-,-,59,0.151
1990,7,28,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,41,0.105,-,-,-,-,41,0.105
1990,7,29,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Bottomfish,Yelloweye Rockfish,34,0.087,-,-,-,-,34,0.087
1990,7,29,W,Wa Northern Coast,Party/Charter Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,5,0.013,-,-,-,-,5,0.013
1990,7,29,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Salmon,Yelloweye Rockfish,18,0.046,-,-,-,-,18,0.046
1990,7,29,W,Wa Northern Coast,Private/Rental Boats,Ocean,Northern Washington,Halibut,Yelloweye Rockfish,9,0.023,-,-,-,-,9,0.023
