"See table 7 in Rogers, J. 2003. Species Allocation of Sebastes and Sebastolobus sp. Caught by Foreign Countries. NMFS-NWFSC-57.",,,,
"For CA, only 1 mt in 1966",,,,
,INPFC AREA,,,
,UVAN,COL,MON,Grand Total
1966,0,1,1,2
1967,0,1,0,1
1968,0,0,0,0
1969,0,4,0,4
1970,0,5,0,5
1971,2,2,0,4
1972,2,1,0,3
1973,2,4,0,6
1974,2,2,0,4
1975,0,2,0,2
1976,0,1,0,1
Grand Total,8,23,1,32
