"Var1","Freq"
"L_at_Amin_Fem_GP_1",2
"Q_extraSD_8_CACPFV(8)",6
"RecrDist_Area_2",2
"Size_DblN_ascend_se_4_ORWA_TWL(4)",2
"Size_DblN_peak_1_CA_TWL(1)",1
"Size_DblN_peak_10_TRI_ORWA(10)",13
"Size_DblN_peak_11_NWFSC_ORWA(11)",1
"Size_DblN_peak_2_CA_NONTWL(2)",1
"Size_DblN_peak_3_CA_REC(3)",1
"Size_DblN_peak_4_ORWA_TWL(4)",1
