"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","NatM_break_1_Fem_GP_1",0.03,7913.21,0.000218781,1111.04,206.227,0.185617,2
"6","NatM_break_1_Fem_GP_1",0.032,7902.04,0.00330837,1119.97,239.396,0.213752,2
"5","NatM_break_1_Fem_GP_1",0.034,7892.78,0.00275555,1128.64,274.415,0.243139,2
"4","NatM_break_1_Fem_GP_1",0.036,7885.15,0.000671712,1137.69,311.199,0.273536,2
"3","NatM_break_1_Fem_GP_1",0.038,7878.92,0.000126926,1147.9,349.936,0.30485,2
"2","NatM_break_1_Fem_GP_1",0.04,7873.88,0.00295115,1159.83,390.763,0.336914,1
"1","NatM_break_1_Fem_GP_1",0.042,7869.86,0.000317971,1173.97,433.856,0.369564,1
"8","NatM_break_1_Fem_GP_1",0.044,7866.74,0.000569412,1190.78,479.374,0.402573,1
"9","NatM_break_1_Fem_GP_1",0.046,7864.4,0.000174323,1210.81,527.646,0.435779,1
"10","NatM_break_1_Fem_GP_1",0.048,7862.75,0.000433454,1234.79,579.21,0.469075,1
"11","NatM_break_1_Fem_GP_1",0.05,7861.73,0.000487887,1263.63,634.83,0.502386,1
"12","NatM_break_1_Fem_GP_1",0.052,7861.25,0.000303846,1298.49,695.561,0.535671,1
"13","NatM_break_1_Fem_GP_1",0.054,7861.28,0.000441258,1340.84,762.787,0.56889,1
"14","NatM_break_1_Fem_GP_1",0.056,7861.76,4.36636e-05,1392.54,838.27,0.60197,1
"15","NatM_break_1_Fem_GP_1",0.058,7862.65,0.000155038,1456.05,924.346,0.634831,1
"16","NatM_break_1_Fem_GP_1",0.06,7863.92,6.92449e-05,1534.65,1024.18,0.667374,1
