"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to ten years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.01, -0.07, -0.12, -0.12, -0.12, -0.01, 0.18, 0.52, 1.03, and 1.61 for SSB.","RetroSsb","../C:/Morgan's Stuff/Sebastes_ruberrimus_2025/model/MJ_last_run_updated_alldata_tunecomps_fitbias_ctl_start_20250416_retro_10_yr_peel/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to ten years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.01, -0.07, -0.12, -0.13, -0.13, -0.04, 0.13, 0.42, 0.86, and 1.36 for fraction unfished.","RetroFractionunfished","../C:/Morgan's Stuff/Sebastes_ruberrimus_2025/model/MJ_last_run_updated_alldata_tunecomps_fitbias_ctl_start_20250416_retro_10_yr_peel/compare4_Bratio_uncertainty.png"
