"type","Quantity","values"
Mohn,SSB,1.61262274712683
Mohn,Recruitment,0.572263415895201
Mohn,Fraction unfished,1.35773547885626
Mohn,F,-1.165618520548
NEFSC,SSB,0.339882365581529
NEFSC,Recruitment,0.206879333609559
NEFSC,Fraction unfished,0.14128674424844
NEFSC,F,-0.270826568408801
AFSC,SSB,0.161262274712683
AFSC,Recruitment,0.0572263415895201
AFSC,F,-0.1165618520548
AFSC,Fraction unfished,0.135773547885626
