"type","Quantity","values"
Mohn,SSB,-0.125522292594514
Mohn,Recruitment,0.798308255119638
Mohn,Fraction unfished,-0.14127129015543
Mohn,F,0.0236958943472234
NEFSC,SSB,-0.04563063061281
NEFSC,Recruitment,-0.0326443332592438
NEFSC,Fraction unfished,-0.0614281398913956
NEFSC,F,0.0464166812775405
AFSC,SSB,-0.0251044585189028
AFSC,Recruitment,0.159661651023928
AFSC,F,0.00473917886944467
AFSC,Fraction unfished,-0.0282542580310859
