"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,6885.77,0.000652096,1122.17,22.0099,0.0196136,3
"9","SR_BH_steep",0.3,6863.52,0.00183489,1104.98,29.3267,0.0265405,3
"8","SR_BH_steep",0.35,6849.51,0.00384171,1081.82,44.8112,0.0414219,3
"7","SR_BH_steep",0.4,6840.01,0.00305089,1075.12,75.4938,0.0702191,3
"6","SR_BH_steep",0.45,6832.52,0.00209851,1078.86,117.197,0.108631,3
"5","SR_BH_steep",0.5,6826.66,0.00262793,1080.58,160.497,0.148529,3
"4","SR_BH_steep",0.55,6822.29,0.000541908,1081.43,204.776,0.189357,3
"3","SR_BH_steep",0.6,6819.1,0.00476367,1081.79,248.814,0.230001,3
"2","SR_BH_steep",0.65,6816.83,0.000686187,1082.01,291.71,0.2696,3
"1","SR_BH_steep",0.7,6815.23,9.47005e-05,1082.19,332.727,0.307458,2
"11","SR_BH_steep",0.75,6814.14,0.000189242,1082.39,371.415,0.343143,2
"12","SR_BH_steep",0.8,6813.42,0.000451583,1082.67,407.561,0.376442,2
"13","SR_BH_steep",0.85,6812.98,0.000592751,1083.05,441.131,0.407306,2
"14","SR_BH_steep",0.9,6812.73,0.000548142,1083.55,472.196,0.435788,2
"15","SR_BH_steep",0.95,6812.63,0.00161016,1084.17,500.891,0.462004,2
"16","SR_BH_steep",1,6812.64,0.00200197,1084.91,527.377,0.486101,2
