"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2004,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,1,1,1,4,4,6,5,5,9,8,3,5,4,2,2,1,1,0,0,0,1,1,0,0,0
2005,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,1,0,2,1,3,4,3,3,5,7,7,1,3,5,1,0,1,4,1,1,0,0,0,0,0
2006,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,1,1,0,2,2,3,2,2,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","fixed-CA",0,1,NA,0,0,0,0,0,1,1,0,2,4,2,8,9,5,6,5,11,6,6,5,2,1,2,0,1,0,1,0,1,0,0,0,0
2008,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,1,2,0,2,2,1,1,0,0,0,0,0,0,0
2009,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7","fixed-CA",0,1,NA,0,0,0,0,0,1,1,1,0,0,1,4,2,0,4,0,0,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2012,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,2,1,2,2,3,8,5,2,9,5,5,11,5,4,6,2,8,3,0,0,2,0,0,0,0,0
2013,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,3,4,0,4,3,0,6,1,0,2,1,1,0,0,1,0,0,0
2014,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0
2016,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,7,2,3,2,2,1,1,0,0,0,0,0,0,0,0
2017,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,1,5,4,3,2,8,3,8,6,8,5,6,5,10,8,5,3,1,0,0,0,0,0,0,0,0
2018,"7","fixed-CA",0,1,NA,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,2,6,3,3,7,3,3,2,3,1,0,1,0,1,0,0,0,0
