"year","month","fleet","est","se_log"
2003,NA,NA,2112.02657705311,0.602006680337983
2004,NA,NA,326.857523583061,0.531789957076579
2005,NA,NA,220.465116081996,0.36616091257079
2006,NA,NA,662.343938673975,0.399159209603304
2007,NA,NA,234.938776200503,0.408078184622903
2008,NA,NA,669.5552857182,0.489031624513114
2009,NA,NA,590.833201138877,0.518220272225499
2010,NA,NA,722.367971917125,0.426144334309512
2011,NA,NA,711.197780953062,0.536449418306887
2012,NA,NA,681.914416013139,0.469443983854559
2013,NA,NA,873.621522574084,0.540534491557615
2014,NA,NA,1811.79644464674,0.404291947384926
2015,NA,NA,677.605147682979,0.55061434788615
2016,NA,NA,675.233955621763,0.331715370615734
2017,NA,NA,429.483027927307,0.34622596952165
2018,NA,NA,404.323608435746,0.389048773289569
2019,NA,NA,862.524858192503,0.495155941139797
2021,NA,NA,403.702950571596,0.389648799376683
2022,NA,NA,695.675862502836,0.517454141124178
2023,NA,NA,477.304487751773,0.530879590183695
2024,NA,NA,597.328858369764,0.325431797782563
