"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","SR_LN(R0)",4.5,7334.79,4.63866e-05,459.484,120.982,0.263301,2
"6","SR_LN(R0)",4.65,7321.23,8.09144e-05,533.502,144.89,0.271583,2
"5","SR_LN(R0)",4.8,7382.46,6.35919e-05,623.315,191.794,0.307699,4
"4","SR_LN(R0)",4.95,7280.38,0.000551855,719.047,215.757,0.300059,2
"3","SR_LN(R0)",5.1,7257.96,4.29911e-05,833.97,261.504,0.313565,2
"2","SR_LN(R0)",5.25,7255.08,9.94026e-05,967.229,318.924,0.32973,2
"1","SR_LN(R0)",5.4,7244.87,0.000331646,1121.6,386.003,0.344155,1
"8","SR_LN(R0)",5.55,7247.53,0.000435633,1300.74,470.277,0.361545,1
"9","SR_LN(R0)",5.7,7255.96,0.000205321,1508.75,576.277,0.381957,1
"10","SR_LN(R0)",5.85,7269.67,0.000227314,1750.63,714.078,0.407898,1
"11","SR_LN(R0)",6,7287.72,0.000145806,2032.65,901.613,0.443566,1
