"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",7866.87,0.000347014,1189.9,451.594,1,"Best Fit"
"2",7866.87,3.83868e-05,1189.9,451.594,1,"Best Fit"
"3",1013440,8596.67,107.779,2.58559e-06,4,"0"
"4",7866.87,3.56359e-05,1189.9,451.594,1,"Best Fit"
"5",7866.87,0.000720384,1189.9,451.594,1,"Best Fit"
"6",7866.87,0.000108186,1189.9,451.594,1,"Best Fit"
"7",1013340,6154.42,115.113,0.008992,9,"0"
"8",7866.87,0.000347014,1189.9,451.594,1,"Best Fit"
"9",1011610,0.000450963,48.0813,0.0567282,8,"0"
"10",7866.87,0.000384249,1189.9,451.594,1,"Best Fit"
"11",7866.87,0.00015682,1189.9,451.594,1,"Best Fit"
"12",7866.87,0.000618303,1189.9,451.594,1,"Best Fit"
"13",7866.87,9.87384e-05,1189.9,451.594,1,"Best Fit"
"14",7866.87,0.000233866,1189.9,451.594,1,"Best Fit"
"15",7866.87,0.000137209,1189.9,451.594,1,"Best Fit"
"16",29494.7,2092990,273.518,122.542,3,"0"
"17",7866.87,0.000371951,1189.9,451.594,1,"Best Fit"
"18",1011610,0.0232471,48.0813,0.0567282,8,"0"
"19",1013310,7588.42,110.324,0.00488699,1,"0"
"20",7866.87,0.000281623,1189.9,451.594,1,"Best Fit"
"21",32159.2,18587600,5042.09,4618.04,1,"0"
"22",7866.87,0.000137209,1189.9,451.594,1,"Best Fit"
"23",1011610,0.00680594,48.0813,0.0567282,8,"0"
"24",7866.87,0.00151575,1189.9,451.594,1,"Best Fit"
"25",7866.87,0.000264428,1189.9,451.594,1,"Best Fit"
"26",7866.87,0.000379814,1189.9,451.594,1,"Best Fit"
"27",7866.87,0.000156609,1189.9,451.594,1,"Best Fit"
"28",1011610,0.00661632,48.0813,0.0567282,8,"0"
"29",7866.87,0.00026146,1189.9,451.594,1,"Best Fit"
"30",7866.87,6.11814e-05,1189.9,451.594,1,"Best Fit"
"31",7866.87,3.83868e-05,1189.9,451.594,1,"Best Fit"
"32",7866.87,7.30729e-05,1189.9,451.594,1,"Best Fit"
"33",1033470,22455.3,18.9402,0.000105482,1,"0"
"34",7866.87,0.00108217,1189.9,451.594,1,"Best Fit"
"35",7866.87,0.000536223,1189.9,451.594,1,"Best Fit"
"36",7866.87,0.000515987,1189.9,451.594,1,"Best Fit"
"37",7866.87,4.58737e-05,1189.9,451.594,1,"Best Fit"
"38",7866.87,0.00136774,1189.9,451.594,1,"Best Fit"
"39",13183.3,10554.9,3031.49,2412.28,5,"0"
"40",8289.48,28435.7,1036.98,291.002,3,"0"
"41",9437.52,311348,16863.6,16486.5,2,"0"
"42",7866.87,0.00282018,1189.9,451.594,1,"Best Fit"
"43",18940.5,11246200,380842,368408,5,"0"
"44",7866.87,4.58737e-05,1189.9,451.594,1,"Best Fit"
"45",16889.7,10429700,1494.14,1026.98,3,"0"
"46",7866.87,0.000433469,1189.9,451.594,1,"Best Fit"
"47",7866.87,0.00152601,1189.9,451.594,1,"Best Fit"
"48",7866.87,0.000132694,1189.9,451.594,1,"Best Fit"
"49",7866.87,6.13788e-05,1189.9,451.594,1,"Best Fit"
"50",7866.87,0.000220335,1189.9,451.594,1,"Best Fit"
