,year,fleet,total_discards,,year,fleet,total_discards,,,,,
31,2019,TWL-OR,0.04,,2019,TWL-OR,0.04,,,,,
32,2019,TWL-WA,0,,2019,TWL-WA,0,,,,,
95,2019,NONTWL-CA,1.15,,2019,NONTWL-CA,1.15,,,,,
96,2019,NONTWL-OR,1.39,,2019,NONTWL-OR,1.39,,,,,
97,2019,NONTWL-WA,4.17,,2019,NONTWL-WA,4.17,,,,,
114,2019,TWL-NA,0,,2019,TWL-NA,0,,,,,
33,2020,NONTWL-OR,6.33,,2020,NONTWL-OR,6.33,,,,,
34,2020,TWL-CA,0.01,,2020,TWL-CA,0.01,,,,,
35,2020,TWL-OR,0.09,,2020,TWL-OR,0.09,,,,,
98,2020,NONTWL-CA,0.75,,2020,NONTWL-CA,0.75,,,,,
36,2021,TWL-CA,0.01,,2021,TWL-CA,0.01,,,,,
37,2021,TWL-OR,0.05,,2021,TWL-ORWA,0.08,,,,,
38,2021,TWL-WA,0.03,,2021,NONTWL-CA,2.43,,,,,
99,2021,NONTWL-CA,2.43,,2021,NONTWL-ORWA,6.08,,,,,
100,2021,NONTWL-OR,3.53,,2022,TWL-CA,0,,,,,
101,2021,NONTWL-WA,2.55,,2022,TWL-ORWA,0.02,,,,,
39,2022,TWL-CA,0,,2022,NONTWL-CA,5.57,,,,,
40,2022,TWL-OR,0.02,,2022,NONTWL-ORWA,13.7,,,,,
41,2022,TWL-WA,0,,2023,TWL-CA,0,,,,,
102,2022,NONTWL-CA,5.57,,2023,TWL-ORWA,0.06,,,,,
103,2022,NONTWL-OR,7.88,,2023,NONTWL-CA,1.82,,,,,
104,2022,NONTWL-WA,5.82,,2023,NONTWL-ORWA,11.5,,,,,
42,2023,TWL-CA,0,,,,,,,,,
43,2023,TWL-OR,0.06,,Year,Fleet Name,Discards,Fleet Number,Catch w/o discard,Catch with Discard,,
44,2023,TWL-WA,0,,2024,TWL-CA,0.003333333,1,0.191,0.194333333,,
105,2023,NONTWL-CA,1.82,,2024,NONTWL-CA,3.273333333,2,0,3.273333333,,
106,2023,NONTWL-OR,5.51,,2024,TWL-ORWA,0.053333333,4,0.44,0.493333333,,
107,2023,NONTWL-WA,5.99,,2024,NONTWL-ORWA,10.42666667,5,3.086,13.51266667,,numbers match data file
