"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",7228.52,8.38647e-05,1089.84,353.207,2,"Best Fit"
"2",7228.52,0.00069985,1089.84,353.207,2,"Best Fit"
"3",7228.52,0.000141096,1089.84,353.207,2,"Best Fit"
"4",7228.52,0.000179978,1089.84,353.207,2,"Best Fit"
"5",7228.52,7.79222e-05,1089.84,353.207,2,"Best Fit"
"6",9978.58,201447,10685.5,9939.7,4,"0"
"7",7228.52,6.01347e-05,1089.84,353.207,2,"Best Fit"
"8",7228.52,8.38647e-05,1089.84,353.207,2,"Best Fit"
"9",7228.52,0.000617277,1089.84,353.207,2,"Best Fit"
"10",7228.52,0.000140955,1089.84,353.207,2,"Best Fit"
"11",8517.11,52414,1333.78,587.075,3,"0"
"12",7228.52,1.74532e-05,1089.84,353.207,2,"Best Fit"
"13",7228.52,0.000279689,1089.84,353.207,2,"Best Fit"
"14",16277.8,22933.6,672.325,246.414,4,"0"
"15",7228.52,8.38647e-05,1089.84,353.207,2,"Best Fit"
"16",7228.52,0.00058892,1089.84,353.207,2,"Best Fit"
"17",7228.52,0.00109143,1089.84,353.207,2,"Best Fit"
"18",7228.52,0.000347892,1089.84,353.207,2,"Best Fit"
"19",24139,70308.2,597.691,457.917,3,"0"
"20",7963.7,16967.2,997.834,258.903,4,"0"
"21",7228.52,8.79015e-05,1089.84,353.207,2,"Best Fit"
"22",7228.52,0.000681121,1089.84,353.207,2,"Best Fit"
"23",7228.52,0.000613849,1089.84,353.207,2,"Best Fit"
"24",7228.52,7.04633e-05,1089.84,353.207,2,"Best Fit"
"25",16439.8,44569.6,2212.22,1661.25,3,"0"
"26",13344.6,2112040,1036.74,648.956,3,"0"
"27",7228.52,0.000347892,1089.84,353.207,2,"Best Fit"
"28",7228.52,9.92527e-05,1089.84,353.207,2,"Best Fit"
"29",12719.9,138972000,2361.38,1807.29,5,"0"
"30",7228.52,0.000681121,1089.84,353.207,2,"Best Fit"
"31",1010870,0.000896052,49.5967,0.0504027,8,"0"
"32",7228.52,9.15596e-05,1089.84,353.207,2,"Best Fit"
"33",9389.56,68379.7,1070.69,354.737,3,"0"
"34",7228.52,1.74283e-05,1089.84,353.207,2,"Best Fit"
"35",7228.52,0.000100039,1089.84,353.207,2,"Best Fit"
"36",14274.1,169756,1802.62,1386.38,4,"0"
"37",7228.52,0.000681121,1089.84,353.207,2,"Best Fit"
"38",7228.52,0.000228274,1089.84,353.207,2,"Best Fit"
"39",21837.3,655013,569.745,174.504,3,"0"
"40",20658.6,14336.5,715.324,514.784,4,"0"
"41",7228.52,0.00033719,1089.84,353.207,2,"Best Fit"
"42",7228.52,0.000103778,1089.84,353.207,2,"Best Fit"
"43",7228.52,7.39859e-05,1089.84,353.207,2,"Best Fit"
"44",7228.52,0.000226596,1089.84,353.207,2,"Best Fit"
"45",7228.52,9.44319e-05,1089.84,353.207,2,"Best Fit"
"46",7228.52,0.000174957,1089.84,353.207,2,"Best Fit"
"47",7228.52,0.000902814,1089.84,353.207,2,"Best Fit"
"48",16127.9,130344,1561.02,1188.83,2,"0"
"49",7228.52,5.31088e-05,1089.84,353.207,2,"Best Fit"
"50",7228.52,0.00147114,1089.84,353.207,2,"Best Fit"
