"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",7244.86,8.32931e-05,1131.22,367.488,1,"Best Fit"
"2",7244.86,0.000138157,1131.22,367.488,1,"Best Fit"
"3",7244.86,0.000329108,1131.22,367.488,1,"Best Fit"
"4",10084,52342,3542.28,2904.14,4,"0"
"5",7256.35,8.38619e-05,1132.6,380.211,1,"0"
"6",7244.86,4.04216e-05,1131.22,367.488,1,"Best Fit"
"7",7440.88,1753.95,937.029,286.496,3,"0"
"8",7244.86,8.32931e-05,1131.22,367.488,1,"Best Fit"
"9",7244.86,0.000138157,1131.22,367.488,1,"Best Fit"
"10",7244.86,0.000305353,1131.22,367.488,1,"Best Fit"
"11",7244.86,0.00318805,1131.22,367.488,1,"Best Fit"
"12",7244.86,0.000212203,1131.22,367.488,1,"Best Fit"
"13",9355.37,1426190,2787.91,2181.95,2,"0"
"14",7244.86,0.000236779,1131.22,367.488,1,"Best Fit"
"15",1010890,0.000952778,49.2852,0.0507994,8,"0"
"16",7272.49,0.00453262,1100.39,352.687,2,"0"
"17",7244.86,0.000367681,1131.22,367.488,1,"Best Fit"
"18",7244.86,0.000723333,1131.22,367.488,1,"Best Fit"
"19",1010940,0.249781,508.581,1.69195,4,"0"
"20",7244.86,0.00121162,1131.22,367.488,1,"Best Fit"
"21",7244.86,7.32348e-05,1131.22,367.488,1,"Best Fit"
"22",1010890,0.000342726,49.2852,0.0507994,8,"0"
"23",7244.86,0.00183706,1131.22,367.488,1,"Best Fit"
"24",7244.86,0.000111372,1131.22,367.488,1,"Best Fit"
"25",7244.86,0.000159782,1131.22,367.488,1,"Best Fit"
"26",7244.86,0.000882286,1131.22,367.488,1,"Best Fit"
"27",7244.86,0.000268729,1131.22,367.488,1,"Best Fit"
"28",7256.35,2.12279e-05,1132.6,380.211,1,"0"
"29",8428.63,10660.2,1128.47,310.745,1,"0"
"30",7244.86,0.000278653,1131.22,367.488,1,"Best Fit"
"31",7244.86,9.97743e-05,1131.22,367.488,1,"Best Fit"
"32",9187.94,81705.4,2081.03,1465.72,7,"0"
"33",7244.86,0.000490621,1131.22,367.488,1,"Best Fit"
"34",1010890,0.000233924,49.2852,0.0507994,8,"0"
"35",7244.86,0.00637347,1131.22,367.489,1,"Best Fit"
"36",25122.5,2826960,466078,438931,4,"0"
"37",7438.08,1930.86,940.445,303.403,3,"0"
"38",9860.52,143401,4088.31,3543.62,5,"0"
"39",8853.83,1509490,1657.6,1014.62,3,"0"
"40",7244.86,0.00127963,1131.22,367.488,1,"Best Fit"
"41",1010890,0.00753198,49.2852,0.0507995,8,"0"
"42",7244.86,0.00108925,1131.22,367.488,1,"Best Fit"
"43",7286.46,6.29217e-05,1142.75,390.265,1,"0"
"44",7438.08,1930.86,940.445,303.403,3,"0"
"45",7244.86,4.84988e-05,1131.22,367.488,1,"Best Fit"
"46",7244.86,6.00089e-05,1131.22,367.488,1,"Best Fit"
"47",7244.86,0.000340691,1131.22,367.488,1,"Best Fit"
"48",7244.86,0.000165137,1131.22,367.488,1,"Best Fit"
"49",9320.14,1876090,4058.36,3435.25,1,"0"
"50",7244.86,0.000172367,1131.22,367.488,1,"Best Fit"
