"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",7907.94,0.00018781,1129.7,402.936,1,"Best Fit"
"2",10247.3,9536.52,10203.6,9489.03,4,"0"
"3",7907.94,0.00081019,1129.7,402.936,1,"Best Fit"
"4",1031870,37204.3,145.209,0.000162062,3,"0"
"5",7907.94,0.000123444,1129.7,402.936,1,"Best Fit"
"6",7907.94,5.85223e-05,1129.7,402.936,1,"Best Fit"
"7",21003.7,2060170,1933.58,1566.7,3,"0"
"8",7907.94,0.00100813,1129.7,402.936,1,"Best Fit"
"9",9390.38,2963.05,1120.71,409.041,4,"0"
"10",7907.94,0.000192553,1129.7,402.936,1,"Best Fit"
"11",7907.94,0.000496778,1129.7,402.936,1,"Best Fit"
"12",7907.94,0.000118698,1129.7,402.936,1,"Best Fit"
"13",8127.89,1864.14,1012.62,343.102,0,"0"
"14",7907.94,0.000579897,1129.7,402.936,1,"Best Fit"
"15",7907.94,7.74872e-05,1129.7,402.936,1,"Best Fit"
"16",7907.94,0.000125434,1129.7,402.936,1,"Best Fit"
"17",7907.94,0.000115972,1129.7,402.936,1,"Best Fit"
"18",7918.62,4.43511e-05,1131.82,416.189,1,"0"
"19",7907.94,0.000533958,1129.7,402.936,1,"Best Fit"
"20",7907.94,0.000129747,1129.7,402.936,1,"Best Fit"
"21",7907.94,0.000559927,1129.7,402.936,1,"Best Fit"
"22",7907.94,0.000135233,1129.7,402.936,1,"Best Fit"
"23",1011630,0.0116445,49.0008,0.0541997,8,"0"
"24",7907.94,9.66618e-05,1129.7,402.936,1,"Best Fit"
"25",7907.94,0.00106362,1129.7,402.936,1,"Best Fit"
"26",25849.2,155989,662.271,478.688,4,"0"
"27",7907.94,0.000322599,1129.7,402.936,1,"Best Fit"
"28",18574.4,49282900,1241.39,768.842,1,"0"
"29",7907.94,0.000190406,1129.7,402.936,1,"Best Fit"
"30",10574.9,37275.8,4442.3,3740.21,3,"0"
"31",7907.94,4.04934e-05,1129.7,402.936,1,"Best Fit"
"32",7907.94,0.0004093,1129.7,402.936,1,"Best Fit"
"33",7907.94,0.000199266,1129.7,402.936,1,"Best Fit"
"34",7907.94,0.000321664,1129.7,402.936,1,"Best Fit"
"35",10830.9,93283.8,1050.37,375.123,1,"0"
"36",7907.94,0.000565093,1129.7,402.936,1,"Best Fit"
"37",7907.94,0.000108875,1129.7,402.936,1,"Best Fit"
"38",7914.26,0.000299603,1127.56,403.361,1,"0"
"39",25019,45755000,1345.58,918.061,4,"0"
"40",7907.94,0.00081536,1129.7,402.936,1,"Best Fit"
"41",10023.5,36377.1,7336.59,6592.99,3,"0"
"42",7907.94,0.000366905,1129.7,402.936,1,"Best Fit"
"43",7941.1,6.44759e-05,1127.47,421.704,1,"0"
"44",7907.94,0.000176952,1129.7,402.936,1,"Best Fit"
"45",7907.94,0.00102077,1129.7,402.936,1,"Best Fit"
"46",7907.94,0.0010353,1129.7,402.936,1,"Best Fit"
"47",7907.94,8.28376e-05,1129.7,402.936,1,"Best Fit"
"48",12049,503082000,2015550,1970250,3,"0"
"49",7907.94,0.000925355,1129.7,402.936,1,"Best Fit"
"50",9359.46,11639.8,1378.86,710.944,2,"0"
