"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"8","SR_LN(R0)",3.5,1011010,0.0768346,88.9185,0.0145511,0.000163646,5
"7","SR_LN(R0)",3.75,1010530,0.00494339,219.787,31.3029,0.142424,5
"6","SR_LN(R0)",4,1010520,0.0414875,284.274,37.2181,0.130923,5
"5","SR_LN(R0)",4.25,7348.08,0.000481694,358.277,84.3773,0.235508,3
"4","SR_LN(R0)",4.5,7317.77,8.44737e-05,460,124.841,0.271393,3
"3","SR_LN(R0)",4.75,7280.53,0.000201825,589.753,166.582,0.28246,3
"2","SR_LN(R0)",5,7247.49,0.000183989,755.76,231.105,0.305792,3
"1","SR_LN(R0)",5.25,7230.51,0.000627468,967.377,320.447,0.331253,2
"9","SR_LN(R0)",5.5,7230.75,0.000752124,1238.29,445.358,0.359656,2
"10","SR_LN(R0)",5.75,7247.07,4.65738e-05,1585.99,628.963,0.396575,2
"11","SR_LN(R0)",6,7276.35,9.8259e-06,2034.79,929.544,0.456825,2
"12","SR_LN(R0)",6.25,7310.69,4.72403e-05,2620.53,1477.94,0.563984,2
"13","SR_LN(R0)",6.5,7338.6,0.000126223,3385.76,2384.89,0.704388,2
"14","SR_LN(R0)",6.75,7356.24,0.000156807,4365.93,3592,0.822735,2
"15","SR_LN(R0)",7,7367.82,2.92178e-05,5617.35,5069.98,0.902558,2
"16","SR_LN(R0)",7.25,7375.84,0.00101757,7221.59,6929.38,0.959537,2
