"year","CA.TWL_n_trips","CA.TWL_n_fish","CA.NONTWL_n_trips","CA.NONTWL_n_fish","ORWA.TWL_n_trips","ORWA.TWL_n_fish","ORWA.NONTWL_n_trips","ORWA.NONTWL_n_fish"
2003,NA,NA,NA,NA,1,1,NA,NA
2004,NA,NA,22,64,8,16,19,62
2005,1,1,10,53,22,43,15,35
2006,NA,NA,6,28,14,45,28,86
2007,NA,NA,20,79,1,1,34,88
2008,1,1,6,21,6,9,31,95
2009,1,1,5,11,4,4,18,37
2010,1,1,6,7,2,4,7,13
2011,NA,NA,7,24,6,6,36,71
2012,NA,NA,17,85,2,2,52,139
2013,NA,NA,13,35,3,3,50,164
2014,NA,NA,2,3,1,1,37,121
2015,NA,NA,3,11,NA,NA,50,186
2016,NA,NA,5,28,3,4,52,116
2017,NA,NA,16,91,3,3,73,387
2018,NA,NA,19,45,4,4,74,336
2019,4,6,21,133,14,20,87,504
2020,3,6,13,27,12,39,60,246
2021,5,6,26,198,14,19,65,329
2022,3,4,45,197,3,4,61,508
2023,NA,NA,16,92,6,13,66,644
