"year","month","fleet_nb","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
1996,7,1,0,0,21.694,0,0,0,0,0,0,0,1,0,0,0,2,2,15,10,12,8,4,3,1,1,2,0,2,0,0,0,0,0,0,0,0,0
1996,7,2,0,0,117.168,0,0,0,0,0,1,3,1,8,18,40,30,31,37,42,47,33,35,24,27,25,19,11,8,10,8,4,1,0,0,0,0,0
1996,7,4,0,0,9.348,0,0,0,0,0,0,0,0,0,2,5,8,17,14,26,28,35,26,18,9,11,10,13,10,14,13,14,16,12,4,3,0,4
1996,7,5,0,0,21.87,0,0,0,0,0,0,0,0,0,0,2,0,9,10,12,21,7,19,4,4,6,4,7,3,0,3,3,0,0,0,0,0,1
1997,7,1,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,3,1,2,0,2,0,0,1,0,0,0,0,0,0,0
1997,7,2,0,0,80.26,0,0,0,0,0,0,2,5,6,16,18,19,23,23,22,20,16,18,22,12,12,8,6,6,4,4,4,4,3,1,0,0,1
1997,7,4,0,0,29.564,0,0,0,0,0,1,0,0,0,0,2,13,14,19,36,39,39,32,25,15,16,7,9,6,6,4,4,5,2,1,0,0,0
1997,7,5,0,0,13.764,0,0,0,0,0,0,0,0,0,0,1,2,3,10,10,11,7,8,4,10,2,2,2,1,2,1,0,0,1,0,0,1,0
1998,7,1,0,0,8.242,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1998,7,2,0,0,18.314,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,4,4,7,1,7,0,4,2,1,3,1,0,1,1,0,0,0,0
1998,7,4,0,0,29.698,0,0,0,0,0,0,0,0,0,0,6,2,1,3,9,9,10,12,14,12,10,7,7,3,5,5,3,1,4,0,1,0,0
1998,7,5,0,0,5.692,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,1,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,3,0,2,1,3,1,0,0,0,0,0,1,0,0,0,0
1999,7,2,0,0,112.344,0,0,0,0,0,1,0,0,7,5,8,19,28,39,43,53,53,48,38,33,35,21,22,12,8,6,2,2,1,1,2,0,1
1999,7,4,0,0,24.352,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,12,9,14,10,11,9,6,5,7,5,0,2,3,2,2,2,0,0
1999,7,5,0,0,22.766,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,10,10,4,8,14,11,10,7,3,4,5,2,0,1,0,1,1
2000,7,1,0,0,5.966,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,7,2,0,0,11.622,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,3,2,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2000,7,4,0,0,6.346,0,0,0,0,0,0,0,0,0,2,0,3,5,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,7,5,0,0,111.93,0,0,0,0,0,0,0,0,0,1,2,6,7,11,23,20,44,43,58,45,47,38,39,22,30,17,13,6,9,2,0,1,1
2001,7,1,0,0,7.242,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,7,2,0,0,35.974,0,0,0,0,0,0,1,7,17,21,11,20,5,4,3,9,4,3,4,2,3,1,1,1,3,0,0,2,0,0,0,1,0
2001,7,4,0,0,6.312,0,0,0,0,0,0,0,0,0,4,5,4,4,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2001,7,5,0,0,164.462,0,0,0,0,0,0,0,0,0,3,20,10,13,13,11,38,43,58,65,108,94,84,61,56,46,24,19,16,4,4,2,0,0
2002,7,1,0,0,2.276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,2,0,0,2.276,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,4,0,0,30.9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,6,4,1,1,2,2,3,2,0,5,7,8,2,0,1,0
2002,7,5,0,0,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,6,6,10,10,13,20,1,3,3,2,0,0,1,0,0,2,1
2003,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,7,4,0,0,8.83,0,0,0,0,1,0,0,0,0,2,1,10,6,6,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0
2003,7,5,0,0,3.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,6,4,4,1,1,0,0,0,0,0,0,0,0,0
2004,7,1,0,0,2.966,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2004,7,2,0,0,30.832,0,0,0,0,0,0,0,0,1,1,1,4,4,6,5,5,9,8,3,5,4,2,2,1,1,0,0,0,1,1,0,0,0
2004,7,4,0,0,22.83,0,0,0,1,0,1,0,0,0,0,3,2,1,2,0,4,2,2,4,1,4,2,0,2,1,1,1,2,6,4,1,0,0
2004,7,5,0,0,33.868,0,0,0,0,0,0,0,0,0,2,0,1,3,1,2,2,3,8,12,9,7,14,11,7,4,2,0,2,2,0,1,0,1
2005,7,2,0,0,17.314,0,0,0,0,0,0,0,0,1,0,2,1,3,4,3,3,5,7,7,1,3,5,1,0,1,4,1,1,0,0,0,0,0
2005,7,4,0,0,29.486,3,1,1,1,1,0,1,0,0,2,0,5,5,4,1,2,6,4,6,5,5,4,1,2,1,0,2,4,1,2,2,2,1
2005,7,5,0,0,19.83,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,9,12,11,3,6,10,14,1,3,5,1,0,0,0,0,0,0
2006,7,2,0,0,9.864,0,0,0,0,0,0,0,1,1,0,2,2,3,2,2,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,4,0,0,46.524,0,0,0,0,0,2,4,0,2,4,2,6,4,1,1,10,2,5,13,8,11,6,17,6,3,7,10,8,2,0,6,2,0
2006,7,5,0,0,48.974,0,0,0,0,0,0,1,2,3,0,5,3,2,3,0,4,5,12,13,25,18,23,16,8,4,7,1,2,1,0,0,0,0
2007,7,2,0,0,30.902,0,0,0,0,0,1,1,0,2,4,2,8,9,5,6,5,11,6,6,5,2,1,2,0,1,0,1,0,1,0,0,0,0
2007,7,4,0,0,2.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,7,5,0,0,55.008,0,0,0,0,0,0,1,0,0,6,3,1,6,3,3,10,9,6,10,17,16,9,8,4,5,4,6,5,2,0,0,0,2
2008,7,2,0,0,8.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,4,1,2,0,2,2,1,1,0,0,0,0,0,0,0
2008,7,4,0,0,10.932,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,3,2,0,2,0,0,0,0,1,0,0,0,0,0
2008,7,5,0,0,46.766,0,0,0,0,0,1,0,1,0,0,1,2,3,0,1,6,6,15,12,9,13,6,6,2,8,2,1,2,3,3,3,0,1
2009,7,2,0,0,6.518,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,4,0,0,14.312,0,0,0,1,0,0,0,0,0,2,0,1,1,2,2,1,3,0,0,3,1,3,1,0,0,1,0,0,0,1,1,0,0
2009,7,5,0,0,29.314,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,3,2,4,6,4,3,5,9,1,1,3,3,1,0,0,0,0,0
2010,7,2,0,0,6.966,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,4,0,0,4.966,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
2010,7,5,0,0,14.382,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,10,5,5,6,3,1,1,1,1,0,0,0,0
2011,7,2,0,0,10.312,0,0,0,0,0,1,1,1,0,0,1,4,2,0,4,0,0,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2011,7,4,0,0,19.588,0,1,1,2,0,1,0,0,1,1,0,1,0,3,0,0,2,0,3,1,4,3,0,0,2,0,0,0,0,0,0,0,0
2011,7,5,0,0,48.074,0,0,0,0,0,0,0,1,0,1,3,6,1,5,7,3,4,4,3,5,2,2,7,6,4,5,4,0,0,0,0,0,0
2012,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,2,0,0,28.73,0,0,0,0,0,0,0,2,1,2,2,3,8,5,2,9,5,5,11,5,4,6,2,8,3,0,0,2,0,0,0,0,0
2012,7,4,0,0,18.244,1,0,0,0,1,0,0,0,0,0,2,4,2,7,8,4,2,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
2012,7,5,0,0,76.286,0,0,0,0,0,0,0,0,3,0,4,10,6,16,5,11,7,6,12,13,5,8,13,6,8,4,1,3,3,1,2,0,0
2013,7,1,0,0,2.414,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,2,0,0,17.83,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,3,4,0,4,3,0,6,1,0,2,1,1,0,0,1,0,0,0
2013,7,4,0,0,21.002,0,0,0,0,0,3,0,0,2,1,0,3,4,1,5,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,7,5,0,0,74.184,0,0,0,0,0,0,2,3,0,4,1,8,14,15,17,12,11,8,11,8,9,11,9,11,4,3,5,1,0,0,1,0,0
2014,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,2,0,0,2.414,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,7,4,0,0,12.656,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,5,0,0,56.25,0,0,0,1,0,0,3,5,3,0,4,9,8,5,8,4,6,12,8,9,4,15,7,3,5,5,1,0,0,0,0,0,0
2015,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
