"year","ORWA.TWL_n_trips","ORWA.TWL_n_fish","ORWA.HKL_n_trips","ORWA.HKL_n_fish"
2001,2,23,11,219
2002,24,50,2,91
2003,2,31,5,21
2004,14,30,7,32
2005,18,32,13,48
2006,27,94,16,73
2007,NA,NA,13,37
2008,3,5,1,12
2009,7,20,3,14
2010,2,3,2,26
2011,8,16,1,1
2012,11,36,4,8
2013,14,26,1,4
2014,10,11,2,4
2015,14,18,2,26
2016,10,20,NA,NA
2017,25,69,9,21
2018,24,51,12,79
2019,56,152,19,121
