"year","month","fleet_nb","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2012,7,5,0,0,71.182,0,0,0,0,0,0,0,0,3,0,4,10,6,16,5,9,7,6,12,11,4,8,11,5,8,4,1,3,3,1,2,0,0
2013,7,5,0,0,72.632,0,0,0,0,0,0,2,3,0,4,1,8,14,15,17,12,10,7,11,7,9,10,9,11,4,3,5,1,0,0,1,0,0
2014,7,5,0,0,53.698,0,0,0,1,0,0,3,5,3,0,4,9,8,5,8,4,6,12,8,9,4,15,6,2,4,4,1,0,0,0,0,0,0
2015,7,5,0,0,75.668,0,0,0,0,0,0,3,6,4,4,5,12,7,5,8,18,8,9,8,8,19,16,10,10,9,10,1,1,1,0,1,2,1
2016,7,5,0,0,68.008,0,0,0,0,0,0,0,0,3,7,3,2,4,7,5,5,7,9,7,2,6,12,6,11,4,6,7,1,0,1,0,0,1
2017,7,5,0,0,126.406,0,0,0,0,0,1,3,3,10,16,15,22,19,16,20,21,24,30,34,29,25,20,22,13,15,7,7,5,7,2,1,0,0
2018,7,5,0,0,120.368,0,0,0,0,0,0,3,7,9,7,16,20,29,19,20,25,26,22,35,17,17,14,18,10,7,3,0,8,1,0,1,2,0
2019,7,5,0,0,156.552,0,0,0,0,0,0,1,6,11,11,12,19,25,30,23,29,33,31,48,43,34,37,27,29,15,12,14,5,4,5,0,0,0
2020,7,5,0,0,93.948,0,0,1,0,0,0,3,4,6,4,12,11,20,17,5,13,26,17,16,14,14,20,12,6,11,6,1,5,1,1,0,0,0
2021,7,5,0,0,110.402,0,0,0,0,0,0,4,2,4,3,3,7,20,25,19,26,27,30,20,24,24,18,26,19,7,9,4,6,1,1,0,0,0
2022,7,5,0,0,131.104,0,0,0,0,0,0,1,2,4,5,9,13,15,28,38,35,35,47,69,37,26,38,28,23,23,15,9,5,1,0,1,0,1
2023,7,5,0,0,154.872,0,0,0,0,0,0,0,1,5,5,8,9,16,21,22,50,63,83,84,70,41,33,37,32,24,20,7,6,5,1,0,0,1
2005,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,1,0,0,1.138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,1,0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,7,1,0,0,4.828,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,1,0,0,3.828,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
2021,7,1,0,0,5.828,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,1,0,0,3.552,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,4,0,0,1.138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,4,0,0,10.208,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,2,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0
2005,7,4,0,0,27.934,3,1,1,1,1,0,1,0,0,1,0,3,2,1,0,1,4,2,3,3,3,2,1,1,0,0,1,2,1,1,1,1,1
2006,7,4,0,0,20.21,0,0,0,0,0,1,2,0,0,2,1,2,2,0,0,3,0,1,5,3,3,2,5,2,1,2,4,2,1,0,1,0,0
2007,7,4,0,0,1.138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,4,0,0,7.242,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2009,7,4,0,0,4.552,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,7,4,0,0,2.552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2011,7,4,0,0,6.828,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,4,0,0,2.276,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,4,0,0,3.414,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,4,0,0,1.138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,4,0,0,3.552,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,4,0,0,3.414,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,4,0,0,4.552,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,4,0,0,16.76,0,1,1,0,0,4,6,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,4,0,0,17.382,0,0,0,0,0,2,1,2,3,4,5,2,3,1,3,2,1,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,4,0,0,16.622,0,0,1,0,0,0,0,2,2,1,5,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022,7,4,0,0,3.552,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,7,4,0,0,7.794,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
