"year","month","fleet_nb","sex","partition","input_n","u0","u1","u2","u3","u4","u5","u6","u7","u8","u9","u10","u11","u12","u13","u14","u15","u16","u17","u18","u19","u20","u21","u22","u23","u24","u25","u26","u27","u28","u29","u30","u31","u32","u33","u34","u35","u36","u37","u38","u39","u40","u41","u42","u43","u44","u45","u46","u47","u48","u49","u50","u51","u52","u53","u54","u55","u56","u57","u58","u59","u60","u61","u62","u63","u64","u65","ageerr","Lbin_lo","Lbin_hi"
2010,7,-4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2010,7,-5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,2,1,1,3,2,0,0,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,-1
2011,7,-4,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
2011,7,-5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2012,7,-4,0,0,36,0,0,0,0,0,0,0,1,1,5,10,5,2,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
2012,7,-5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2013,7,-4,0,0,26,0,0,0,0,0,0,2,0,2,3,5,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2013,7,-5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2014,7,-4,0,0,11,0,0,0,0,0,0,0,2,2,0,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2014,7,-5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2015,7,-4,0,0,18,0,0,0,0,0,0,1,2,0,1,0,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2015,7,-5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,-1
2016,7,-4,0,0,20,0,0,0,0,1,0,3,2,3,7,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2017,7,-4,0,0,69,0,0,0,0,0,2,3,7,11,13,5,9,6,1,3,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2017,7,-5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,3,3,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
2018,7,-4,0,0,51,0,0,0,0,1,2,2,4,5,1,2,5,5,0,2,1,2,1,3,3,0,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
2018,7,-5,0,0,80,0,0,0,0,0,0,0,0,0,2,1,1,3,4,4,9,5,6,6,3,4,2,1,0,2,1,1,0,1,3,1,0,0,2,1,0,3,4,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,-1,-1
2019,7,-4,0,0,152,0,0,0,0,1,11,5,11,16,20,22,11,7,4,3,1,6,5,2,1,1,3,1,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,2,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,-1,-1
2019,7,-5,0,0,122,0,0,0,0,0,0,0,0,0,0,1,4,5,5,11,7,8,8,7,5,5,4,2,3,3,0,1,3,1,6,4,2,3,2,1,3,4,0,3,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
