"year","fleet","catch_shares","n_obs","n_hauls","n_trips","n_vessels","observed_discard_mt","observed_retained_mt","discard_rate"
2011,"fixed-OR","FALSE",6964,724,310,81,0,0.0124824288895959,0
2011,"fixed-OR","TRUE",5961,745,63,11,0,0.0124824288895959,0
2011,"trawl-OR","FALSE",23106,1892,132,41,0.00523904563186065,0.0239952825909462,0.179208688906129
2011,"trawl-OR","TRUE",188179,7306,1382,61,0.00523904563186065,0.0239952825909462,0.179208688906129
2011,"trawl-WA","FALSE",6494,578,35,11,0,0.0172366869273338,0
2011,"trawl-WA","TRUE",29878,1311,257,17,0,0.0172366869273338,0
2012,"trawl-CA","FALSE",2014,253,42,14,0,0.00272158214642112,0
2012,"trawl-CA","TRUE",60009,2636,446,25,0,0.00272158214642112,0
2012,"trawl-OR","FALSE",17404,2122,154,52,0,0.0204118660981584,0
2012,"trawl-OR","TRUE",186397,6781,1198,62,0,0.0204118660981584,0
2012,"trawl-WA","FALSE",5034,522,31,10,0,0.011339925610088,0
2012,"trawl-WA","TRUE",35974,1309,237,13,0,0.011339925610088,0
2013,"fixed-WA","FALSE",2430,174,15,7,0,0.006612453311048,0
2013,"trawl-CA","FALSE",2553,269,46,15,0,0.00861834346366688,0
2013,"trawl-CA","TRUE",66688,2904,491,24,0,0.00861834346366688,0
2013,"trawl-OR","FALSE",12807,1403,107,46,0.000884514197586864,0.0297786446520911,0.0288461538461538
2013,"trawl-OR","TRUE",216543,7757,1487,58,0.000884514197586864,0.0297786446520911,0.0288461538461538
2013,"trawl-WA","FALSE",3263,386,29,13,0.000158758958541232,0.0172366869273338,0.0091264667535854
2013,"trawl-WA","TRUE",35434,1289,228,11,0.000158758958541232,0.0172366869273338,0.0091264667535854
2014,"fixed-CA","FALSE",5492,585,322,90,0,0.010432731561281,0
2014,"fixed-CA","TRUE",3446,722,78,13,0,0.010432731561281,0
2014,"fixed-WA","FALSE",4326,345,25,10,0,0.00497423458585402,0
2014,"fixed-WA","TRUE",2730,342,27,6,0,0.00497423458585402,0
2014,"trawl-CA","FALSE",5212,482,77,18,0,0.0544316429284224,0
2014,"trawl-CA","TRUE",65954,2838,439,24,0,0.0544316429284224,0
2014,"trawl-OR","FALSE",16598,1445,106,38,0,0.0195046720493514,0
2014,"trawl-OR","TRUE",178353,6541,1405,59,0,0.0195046720493514,0
2014,"trawl-WA","FALSE",4187,395,44,17,0.00045359702440352,0.0068039553660528,0.0625
2014,"trawl-WA","TRUE",20326,794,218,12,0.00045359702440352,0.0068039553660528,0.0625
2015,"trawl-CA","FALSE",7546,674,123,17,0,0.00090719404880704,0
2015,"trawl-CA","TRUE",60299,2208,328,19,0,0.00090719404880704,0
2015,"trawl-OR","FALSE",19579,1974,131,42,0.000476276875623696,0.0258550303910006,0.0180878552971576
2015,"trawl-OR","TRUE",170082,5485,716,45,0.000476276875623696,0.0258550303910006,0.0180878552971576
2016,"fixed-OR","FALSE",9340,1000,307,73,0,0.00339075520198535,0
2016,"fixed-OR","TRUE",4749,679,76,12,0,0.00339075520198535,0
2016,"trawl-CA","FALSE",12217,905,142,22,0,0.00045359702440352,0
2016,"trawl-CA","TRUE",37541,1391,217,17,0,0.00045359702440352,0
