"year","fleet","n_obs","n_hauls","n_trips","n_vessels","n_boot","obs_discard","obs_retained","obs_ratio","median_discard","sd_discard","median_ratio","sd_ratio"
2002,"fixed-OR",12,12,9,6,10000,0.216429284223896,0.00090719404880704,0.995825854656259,0.216429284223895,0.120996967228051,0.995825854656259,0.0297280142541277
2002,"fixed-WA",36,35,12,7,10000,0.238995736187971,0.0278962170008165,0.895477489420282,0.232590946203393,0.118369594103195,0.895477489420282,0.0967365913224182
2002,"trawl-CA",53,53,13,9,10000,0.0217953370225891,0.00862974134541781,0.716360916444104,0.0217953370225891,0.00839051204789053,0.716360916444104,0.164036155292778
2002,"trawl-OR",79,79,25,17,10000,0.0526172548308083,0.0402213588077125,0.566760454175678,0.0515875895854123,0.018362104725079,0.568348080232235,0.155899424601351
2002,"trawl-WA",35,35,16,6,10000,0.0806994466116302,0.0128635056950819,0.862514965828424,0.0806994466116302,0.0379303564800333,0.862514965828424,0.162913674783528
2003,"fixed-OR",12,12,6,3,10000,0.0684205751610269,0.0369454776376667,0.649360712901976,0.068420575161027,0,0.649360712901976,0
2003,"fixed-WA",147,123,24,7,10000,0.252127370044453,0.0325390093440987,0.885694231212022,0.252127370044453,0.0278130922505806,0.885694231212022,0.0500112888344142
2003,"trawl-OR",23,23,6,6,10000,0.0198040460854577,0.0118582290180293,0.625477670847369,0.0198040460854577,0.0103482123055808,0.625477670847369,0.221380222991779
2003,"trawl-WA",4,4,4,3,10000,0.00439989113671414,0,1,0.00439989113671414,0.000886655908402362,1,0
2004,"fixed-CA",24,24,22,6,10000,0.104780912637213,0,1,0.102399528259095,0.0603739379695929,1,0
2004,"fixed-OR",19,19,17,9,10000,0.158495872267078,0.00385557470742992,0.976251676352258,0.158450512564638,0.0289064958942457,0.976245039405288,0.00441993714509569
2004,"fixed-WA",15,15,8,5,10000,0.0506032840424567,0.00297106050984306,0.944543222419778,0.0506032840424567,0.01083826321826,0.944543222419778,0.0536737339564599
2004,"trawl-OR",72,72,17,14,10000,0.0363467295654541,0.0237998910600411,0.604302106875931,0.0359611720947111,0.0133394598056512,0.619176027116309,0.193623984897682
2004,"trawl-WA",7,7,5,4,10000,0.00045359702440352,0.00564306450149687,0.0744008868585714,0.00045359702440352,0.000372050329655791,0.0744008868585714,0.0344033812697067
2005,"fixed-CA",18,18,14,7,10000,0.149183525356074,0,1,0.149183525356074,0.0548449546258086,1,0
2005,"fixed-OR",18,18,14,13,10000,0.106749523723124,0,1,0.104458858749887,0.037107762708157,1,0
2005,"fixed-WA",10,10,6,5,10000,0.0701714596752245,0,1,0.0701714596752245,0.00240649880415825,1,0
2005,"trawl-OR",69,69,17,12,10000,0.120811031479633,0.00444358512548878,0.964523582076838,0.118976231515921,0.0482743690394937,0.964772752517231,0.0358107128426035
2005,"trawl-WA",73,70,11,4,10000,0.0905334301006985,0.0573296005432755,0.612279010557316,0.0905334301006985,0.0441578610360789,0.612279010557316,0.173317661978737
2006,"fixed-CA",7,7,6,3,10000,0.036469200762043,0,1,0.036469200762043,0.00663439214525395,1,0
2006,"fixed-OR",22,22,20,16,10000,0.131638392452146,0.000816474643926336,0.993835827540153,0.127986936405697,0.0400758730676844,0.994275901400791,0.00848823634009724
2006,"fixed-WA",19,19,12,5,10000,0.122902113762134,0,1,0.122902113762134,0.0518280409700381,1,0
2006,"trawl-OR",20,20,11,8,10000,0.0915812392270707,0.010432731561281,0.89773232547799,0.0903565272611812,0.0567316996953044,0.89773232547799,0.159133974484457
2007,"fixed-CA",21,21,20,11,10000,0.116733194230246,0,1,0.115848680032659,0.0336650491861175,1,0
2007,"fixed-OR",31,29,27,9,10000,0.225188242765127,0,1,0.220466297741087,0.0648248706196345,1,0
2007,"fixed-WA",11,11,7,5,10000,0.0735235416855665,0,1,0.0735235416855665,0.027774365277936,1,0
2007,"trawl-OR",18,18,3,3,10000,0.00022679851220176,0.00385189573629977,0.0556056665157196,0.00022679851220176,0.0001600627054245,0.0556056665157196,0.0737331305284073
2008,"fixed-CA",8,8,6,4,10000,0.0799963712238048,0,1,0.0799963712238048,0.00151360928580641,1,0
2008,"fixed-OR",30,30,28,15,10000,0.225800598748072,0,1,0.220470833711331,0.0594795601390535,1,0
2008,"fixed-WA",7,7,5,4,10000,0.134985938492243,0,1,0.134985938492243,0.0388326243777185,1,0
2008,"trawl-OR",25,25,7,6,10000,0.00863195137439898,0.00589676131724576,0.594130502653762,0.00863195137439898,0.00232803497846595,0.607961399276236,0.267846682801481
2009,"fixed-CA",6,6,5,5,10000,0.012111040551574,0,1,0.012111040551574,0.00115229748717244,1,0
2009,"fixed-OR",18,17,17,12,10000,0.0780413680486256,0,1,0.0763517191327225,0.0308680858579614,1,0
2009,"trawl-OR",81,81,9,6,10000,0.00562913907284768,0.00530886223361195,0.514640555905154,0.00562913907284768,0.00299330720362038,0.514640555905154,0.230692057833582
2010,"fixed-OR",9,9,8,7,10000,0.0536333121654722,0.000943481810759321,0.982712765957447,0.0536333121654722,0.00290289437601046,0.982890515752242,0.0158597667735535
2010,"trawl-OR",4,4,3,3,10000,0.00826453778463213,0.00317517917082464,0.722442505947661,0.00826453778463213,0.00577762094862283,0.722442505947661,0.364060757009503
2011,"fixed-CA",9,9,7,4,10000,0.031960446339472,0,1,0.031960446339472,5.14384816982142e-05,1,0
2011,"fixed-OR",32,32,32,19,10000,0.107615894039735,0,1,0.106527261181167,0.0188527226623368,1,0
2011,"trawl-OR",4,4,4,4,10000,0.000290302095618253,0,1,0.000290302095618253,3.88052349407459e-05,1,0
2012,"fixed-CA",22,22,17,5,10000,0.183951737276603,0,1,0.183951737276603,0.116867960906599,1,0
2012,"fixed-OR",53,53,52,23,10000,0.334087816383925,0,1,0.320536605279869,0.12960140094268,1,0
