"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",16,59,38,59
2003,"unsexed",16,59,38,59
2004,"all",7,17,17,17
2004,"unsexed",7,17,17,17
2005,"all",11,19,26,19
2005,"unsexed",11,19,26,19
2006,"all",12,42,29,42
2006,"unsexed",12,42,29,42
2007,"all",5,12,12,12
2007,"unsexed",5,12,12,12
2008,"all",13,35,31,35
2008,"unsexed",13,35,31,35
2009,"all",6,28,14,28
2009,"unsexed",6,28,14,28
2010,"all",14,51,34,51
2010,"unsexed",14,51,34,51
2011,"all",10,43,24,43
2011,"unsexed",10,43,24,43
2012,"all",12,38,29,38
2012,"unsexed",12,38,29,38
2013,"all",9,30,21,30
2013,"unsexed",9,30,21,30
2014,"all",19,92,46,92
2014,"unsexed",19,92,46,92
2015,"all",11,48,26,48
2015,"unsexed",11,48,26,48
2016,"all",20,71,48,71
2016,"unsexed",20,71,48,71
2017,"all",16,41,38,41
2017,"unsexed",16,41,38,41
2018,"all",19,42,46,42
2018,"unsexed",19,42,46,42
2019,"all",9,34,21,34
2019,"unsexed",9,34,21,34
2021,"all",16,50,38,50
2021,"unsexed",16,50,38,50
2022,"all",15,45,36,45
2022,"unsexed",15,45,36,45
2023,"all",10,30,24,30
2023,"unsexed",10,30,24,30
2024,"all",16,43,38,43
2024,"unsexed",16,43,38,43
