"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,7318.95,0.00373145,1114.24,23.8784,0.0214302,2
"9","SR_BH_steep",0.3,7298.51,0.0061956,1096.66,34.306,0.0312822,2
"8","SR_BH_steep",0.35,7285.5,0.00159027,1081.97,57.797,0.0534184,2
"7","SR_BH_steep",0.4,7275.98,0.00211004,1083.91,97.716,0.0901513,2
"6","SR_BH_steep",0.45,7268.6,0.00147137,1087.01,142.526,0.131117,2
"5","SR_BH_steep",0.5,7263.16,0.00022725,1087.61,187.788,0.172661,2
"4","SR_BH_steep",0.55,7259.27,0.000671265,1087.96,233.523,0.214643,2
"3","SR_BH_steep",0.6,7256.54,0.00186097,1088.32,278.589,0.25598,2
"2","SR_BH_steep",0.65,7254.65,0.000232791,1088.87,321.94,0.295663,1
"1","SR_BH_steep",0.7,7253.35,0.000551286,1089.6,362.868,0.333027,1
"11","SR_BH_steep",0.75,7252.49,0.000691371,1090.49,401.025,0.367749,1
"12","SR_BH_steep",0.8,7251.93,3.48801e-05,1091.5,436.316,0.399741,1
"13","SR_BH_steep",0.85,7251.59,0.000490443,1092.62,468.807,0.429067,1
"14","SR_BH_steep",0.9,7251.41,9.24801e-05,1093.84,498.653,0.455874,1
"15","SR_BH_steep",0.95,7251.34,5.05393e-05,1095.13,526.048,0.480351,1
"16","SR_BH_steep",1,7251.36,0.00182363,1096.48,551.2,0.502701,1
