"type","Quantity","values"
Mohn,SSB,1.59334120660524
Mohn,Recruitment,0.563163039804521
Mohn,Fraction unfished,1.3346704634263
Mohn,F,-1.15737451489122
NEFSC,SSB,0.340257782969832
NEFSC,Recruitment,0.2040837233742
NEFSC,Fraction unfished,0.137982678168176
NEFSC,F,-0.270826309640194
AFSC,SSB,0.159334120660524
AFSC,Recruitment,0.0563163039804521
AFSC,F,-0.115737451489122
AFSC,Fraction unfished,0.13346704634263
