"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to ten years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.01, -0.07, -0.12, -0.13, -0.12, -0.01, 0.17, 0.50, 1.01, and 1.59 for SSB.","RetroSsb","../C:/Morgan's Stuff/Sebastes_ruberrimus_2025/model/2025_base_model/updated_alldata_tunecomps_fitbias_ctl_tunecomps_start_20250424_retro_10_yr_peel/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to ten years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.01, -0.07, -0.12, -0.14, -0.14, -0.04, 0.12, 0.40, 0.84, and 1.33 for fraction unfished.","RetroFractionunfished","../C:/Morgan's Stuff/Sebastes_ruberrimus_2025/model/2025_base_model/updated_alldata_tunecomps_fitbias_ctl_tunecomps_start_20250424_retro_10_yr_peel/compare4_Bratio_uncertainty.png"
