"","year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","A0","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A40","A41","A42","A43","A44","A45","A46","A47","A48","A49","A50","A51","A52","A53","A54","A55","A56","A57","A58","A59","A60","A61","A62","A63","A64","A65"
"1",1998,7,-7,0,0,"Enter Numeric",-1,-1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"2",1999,7,-7,0,0,"Enter Numeric",-1,-1,89,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,8,3,7,5,4,1,2,0,0,1,3,3,3,1,4,3,0,3,1,0,0,0,0,1,1,1,0,4,0,0,1,0,2,0,3,1,2,0,0,0,1,0,0,1,1,1,0,0,0,1,4
"3",2000,7,-7,0,0,"Enter Numeric",-1,-1,181,0,0,0,0,0,0,0,2,1,0,1,7,7,3,10,7,14,16,9,8,4,4,4,2,2,7,8,4,6,4,9,4,6,2,0,1,0,0,1,1,5,1,0,0,3,1,0,0,3,2,1,1,2,0,0,0,0,1,1,0,1,0,1,0,1,3
"4",2001,7,-7,0,0,"Enter Numeric",-1,-1,90,0,0,0,0,0,0,0,0,1,1,0,4,3,2,7,6,10,5,6,8,3,1,1,3,1,1,1,0,0,0,1,2,2,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,7
"5",2004,7,-7,0,0,"Enter Numeric",-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2005,7,-7,0,0,"Enter Numeric",-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2006,7,-7,0,0,"Enter Numeric",-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2008,7,-7,0,0,"Enter Numeric",-1,-1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",2010,7,-7,0,0,"Enter Numeric",-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2011,7,-7,0,0,"Enter Numeric",-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2012,7,-7,0,0,"Enter Numeric",-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2015,7,-7,0,0,"Enter Numeric",-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2017,7,-7,0,0,"Enter Numeric",-1,-1,5,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
