year,month,fleet,sex,partition,input_n,L10,L12,L14,L16,L18,L20,L22,L24,L26,L28,L30,L32,L34,L36,L38,L40,L42,L44,L46,L48,L50,L52,L54,L56,L58,L60,L62,L64,L66,L68,L70,L72,L74
2003,7,9,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,7,9,0,0,21,0,0,0,0,0,1,1,0,0,0,1,2,0,0,4,3,5,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,7,9,0,0,24,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,2,3,2,0,1,2,0,2,0,1,0,1,1,0,0,0,1
2006,7,9,0,0,46,0,0,0,0,1,0,2,1,7,1,3,1,5,1,2,1,2,3,1,4,3,3,1,0,2,0,0,0,1,0,1,0,0
2007,7,9,0,0,52,0,0,0,0,0,0,3,1,4,5,3,4,7,0,4,2,2,5,0,4,4,0,3,0,0,0,1,0,0,0,0,0,0
2008,7,9,0,0,59,0,0,0,0,0,1,1,3,5,8,3,6,7,5,1,3,1,1,1,4,1,1,2,1,0,2,0,0,2,0,0,0,0
2009,7,9,0,0,32,1,0,0,0,0,0,0,1,2,4,4,2,5,2,1,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2010,7,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,3,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,7,9,0,0,30,0,0,0,0,1,0,0,0,1,1,1,0,3,2,4,1,1,4,3,0,1,1,1,0,2,2,1,0,0,0,0,0,0
2012,7,9,0,0,90,0,0,0,0,0,1,0,0,3,1,3,5,9,6,10,5,11,12,4,4,4,1,5,1,2,2,0,1,0,0,0,0,0
2013,7,9,0,0,41,1,0,0,0,0,1,2,1,3,0,4,4,1,6,0,4,4,4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2014,7,9,0,0,78,0,0,0,0,0,1,2,0,0,3,2,1,7,2,8,5,5,7,4,5,6,4,6,2,2,2,1,1,0,2,0,0,0
2015,7,9,0,0,29,0,0,0,0,1,0,1,3,1,0,1,2,3,1,3,0,4,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0
2016,7,9,0,0,28,0,0,0,0,0,0,1,0,1,0,0,2,4,3,2,3,0,1,2,1,3,2,0,1,1,1,0,0,0,0,0,0,0
2017,7,9,0,0,80,0,0,0,0,0,1,3,0,1,2,5,9,5,5,5,8,5,6,3,2,2,4,2,0,2,0,3,1,1,3,1,1,0
2018,7,9,0,0,95,0,0,0,0,0,0,2,1,3,2,5,10,10,13,8,2,6,5,9,3,4,5,2,3,0,0,1,0,0,0,1,0,0
2019,7,9,0,0,89,0,0,0,0,1,0,1,4,1,0,3,6,7,7,7,9,4,4,8,1,3,6,3,6,2,0,5,1,0,0,0,0,0
2020,7,9,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,9,0,0,72,0,0,0,0,0,1,1,1,4,2,5,4,10,5,5,4,6,4,3,3,4,2,1,2,2,3,0,0,0,0,0,0,0
2023,7,9,0,0,60,0,0,0,0,0,0,0,2,1,1,3,3,6,2,7,5,4,5,4,2,3,4,3,2,2,0,1,0,0,0,0,0,0
