"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_LN(R0)",5,7906.44,0.00026891,733.973,261.788,0.356672,2
"4","SR_LN(R0)",5.1,7894.31,0.000122254,810.575,295.358,0.364381,2
"3","SR_LN(R0)",5.2,7878.77,0.000362497,894.611,332.981,0.372208,2
"2","SR_LN(R0)",5.3,7872.19,8.07666e-05,987.684,376.295,0.380988,1
"1","SR_LN(R0)",5.4,7868.43,7.59228e-05,1090.45,425.554,0.390254,1
"6","SR_LN(R0)",5.5,7867.46,0.00186593,1203.96,481.872,0.400239,1
"7","SR_LN(R0)",5.6,7869.17,0.000327723,1329.37,546.766,0.411297,1
"8","SR_LN(R0)",5.7,7873.45,5.02586e-05,1468,622.357,0.42395,1
"9","SR_LN(R0)",5.8,7880.12,0.00382298,1621.34,711.666,0.438936,1
"10","SR_LN(R0)",5.9,7888.94,4.98049e-05,1791.12,819.011,0.457261,1
"11","SR_LN(R0)",6,7899.54,0.000265003,1979.35,950.585,0.480251,1
