"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"3","NatM_break_1_Fem_GP_1",0.0425,6816.74,0.000701517,1074.54,320.152,0.297944,2
"2","NatM_break_1_Fem_GP_1",0.043,6816.01,6.29818e-05,1077.17,329.581,0.30597,2
"1","NatM_break_1_Fem_GP_1",0.0435,6815.32,0.000644661,1079.93,339.136,0.314036,2
"4","NatM_break_1_Fem_GP_1",0.044,6814.66,0.000157234,1082.83,348.819,0.322137,2
"5","NatM_break_1_Fem_GP_1",0.0445,6814.04,0.00054783,1085.87,358.631,0.33027,2
"6","NatM_break_1_Fem_GP_1",0.045,6813.45,0.000533989,1089.06,368.573,0.338432,2
"7","NatM_break_1_Fem_GP_1",0.0455,6812.88,0.000153045,1092.4,378.647,0.346619,2
